"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2016 XK24)",-57.17,1.0219,145.42,166.04,77.96,1.250,,,17,,20,,,16.27
"       'Oumuamua (A/2017 U1)",-1.272,1.2011,122.74,24.60,241.81,0.256,,,80,,207,,,22.08
"       (2020 MQ53)",-5.067e+04,1.0011,72.83,287.13,29.58,53.433,,,56,,15,,,8.65
"       (A/2021 X2)",-2290,1.0013,137.14,228.80,193.28,2.995,,,389,,95,,,15.78
