"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 BB95)",117.8,0.6743,18.18,91.65,126.56,38.367,197.24,1.28e+03,683,6,8,,,6.88
"       (2020 BC95)",89.95,0.5579,25.61,359.46,52.22,39.767,140.13,853,828,7,8,,,6.85
"       (2020 BY101)",52.33,0.2975,10.55,25.94,238.82,36.759,67.89,379,806,8,10,,,7.44
"       (2020 BE102)",74.9,0.5612,5.41,38.84,268.42,32.863,116.93,648,806,9,13,,,5.16
"       (2020 BF102)",56.51,0.3139,22.09,340.25,49.98,38.773,74.25,425,807,7,9,,,7.30
"       (2020 CM3)",71.55,0.5105,10.97,97.30,100.24,35.023,108.08,605,4438,2,115,,,6.64
"       (2020 DD5)",34.6,0.4826,3.81,160.89,354.67,17.900,51.30,204,2542,2,63,,,10.09
"       (2020 DH6)",44.17,0.0872,1.10,154.32,341.21,40.318,48.03,294,1151,6,15,,,7.99
"       (2020 DJ6)",43.35,0.0829,0.46,57.56,279.61,39.756,46.95,285,1086,6,19,,,7.06
"       (2020 FP7)",51.33,0.8635,49.84,208.58,77.06,7.005,95.66,368,1208,2,207,,,10.89
"       (2020 FY30)",70.23,0.4876,13.85,67.28,305.86,35.989,104.48,589,300,9,11,,,4.60
"       (2020 FA31)",71.81,0.4546,19.55,135.97,263.58,39.165,104.46,609,359,9,11,,,5.40
"       (2020 FB31)",57.57,0.3920,16.46,41.83,277.02,35.003,80.13,437,3627,5,11,,,5.56
"       (2020 FQ38)",48.94,0.2572,8.84,135.33,277.28,36.352,61.53,342,385,8,12,,,7.31
"       (2020 FP40)",58.1,0.3435,24.55,36.51,21.13,38.146,78.06,443,745,7,11,,,7.47
"       (2020 FQ40)",65.63,0.4178,43.14,141.89,194.78,38.210,93.05,532,745,8,11,,,6.12
"       (2020 FR40)",79.94,0.5607,15.62,71.36,11.50,35.116,124.76,715,7693,4,15,,,7.83
"       (A/2020 H9)",341.5,0.9925,137.85,213.12,312.82,2.578,680.42,6.31e+03,348,,53,,,17.70
"       (2020 KU7)",34.55,0.8786,103.83,58.11,230.41,4.196,64.91,203,438,3,39,,,15.20
"       (2020 KO11)",45.06,0.1356,6.74,128.66,297.27,38.948,51.16,302,151,8,25,,,8.55
"       (2020 KP11)",45.41,0.1611,22.21,110.27,25.23,38.098,52.73,306,468,7,47,,,8.50
"       (2020 KQ11)",44.49,0.1093,3.32,166.87,334.79,39.629,49.36,297,1137,5,39,,,6.57
"       (2020 KR11)",46.36,0.0809,5.89,131.18,333.24,42.613,50.11,316,215,6,77,,,7.48
"       (2020 KS11)",99.2,0.6480,2.66,169.02,26.81,34.917,163.48,988,791,6,32,,,9.13
