"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2011 GE2)",1.4,0.5121,14.56,23.57,30.30,0.683,2.12,1.66,3665,1,53,,,20.15
"       (2011 GZ2)",1.837,0.5801,7.00,18.50,247.29,0.771,2.90,2.49,6,7,55,,,26.10
"       (2011 GB3)",1.361,0.2969,5.72,192.84,314.16,0.957,1.76,1.59,35,6,73,,,24.40
"       (2011 GC3)",1.784,0.5297,12.99,181.62,285.12,0.839,2.73,2.38,10,8,19,,,22.60
"       (2011 GH3)",2.394,0.7713,11.26,102.65,218.08,0.548,4.24,3.7,8283,0,180,,,18.38
"       (2011 GJ3)",1.141,0.2048,0.85,330.98,308.70,0.908,1.37,1.22,20,7,38,,,26.20
"       (2011 GW9)",1.315,0.3751,7.23,15.42,250.17,0.822,1.81,1.51,1,7,33,,,28.10
"       (2011 GP28)",1.593,0.5203,4.05,16.40,252.20,0.764,2.42,2.01,1,8,14,,,29.40
"       (2011 GR36)",2.057,0.5088,10.22,192.39,21.95,1.010,3.10,2.95,3,7,40,,,26.20
"       (2011 GJ44)",1.171,0.3462,26.50,13.34,314.76,0.766,1.58,1.27,23,7,37,,,21.80
"       (2011 GB55)",1.024,0.4676,13.95,28.69,37.54,0.545,1.50,1.04,371,2,67,,,21.80
"       (2011 GC55)",1.824,0.5800,2.77,98.87,22.49,0.766,2.88,2.46,24,7,64,,,23.00
"       (2011 GR59)",1.263,0.2543,1.64,142.41,115.17,0.942,1.58,1.42,13,8,54,,,23.70
"       (2011 GD60)",1.083,0.1624,6.06,114.87,211.14,0.907,1.26,1.13,3565,0,252,,,21.90
"       (2011 GG60)",1.034,0.6445,2.33,200.52,222.69,0.368,1.70,1.05,4482,2,111,,,22.16
"       (2011 GS60)",3.361,0.9226,19.29,137.56,307.50,0.260,6.46,6.16,2323,0,72,,,19.00
"       (2011 GD62)",3.085,0.6898,10.35,241.93,71.37,0.957,5.21,5.42,4295,0,912,,,17.05
"       (2011 GM62)",1.24,0.2261,24.19,207.99,53.14,0.960,1.52,1.38,2760,0,80,,,22.80
"       (2011 GP65)",2.361,0.6446,11.65,14.65,274.40,0.839,3.88,3.63,138,5,52,,,20.80
"       (2011 GV65)",1.928,0.5593,9.17,19.71,116.86,0.850,3.01,2.68,12,8,17,,,24.50
"       (2011 GX65)",1.344,0.2863,22.86,42.24,263.37,0.959,1.73,1.56,1058,1,72,,,21.60
"       (2011 GD68)",2.018,0.7432,33.81,90.16,333.35,0.518,3.52,2.87,2199,1,69,,,17.74
"       (2011 HG)",2.674,0.6393,14.73,42.50,255.34,0.964,4.38,4.37,193,4,48,,,21.00
"       (2011 HJ)",1.446,0.3200,4.65,211.84,35.73,0.983,1.91,1.74,4,7,44,,,26.00
"       (2011 HP)",1.92,0.4806,3.73,229.50,46.30,0.997,2.84,2.66,3092,0,404,1,0,22.21
"       (2011 HS)",2.815,0.6921,7.87,182.35,334.52,0.867,4.76,4.72,61,6,79,,,21.10
"       (2011 HH1)",1.899,0.6000,11.21,71.82,223.39,0.760,3.04,2.62,13,8,47,,,21.70
"       (2011 HP4)",2.205,0.6135,3.45,41.92,233.15,0.852,3.56,3.27,2,8,16,,,27.60
"       (2011 HO5)",1.055,0.1366,11.29,48.48,289.53,0.911,1.20,1.08,31,6,76,,,24.30
"       (2011 HJ7)",1.249,0.5159,1.13,34.56,297.22,0.605,1.89,1.4,4260,0,102,,,22.39
"       (2011 HC24)",1.966,0.6077,1.99,228.52,69.55,0.771,3.16,2.76,13,8,58,,,24.30
"       (2011 HD24)",2.203,0.8035,6.83,218.29,109.34,0.433,3.97,3.27,4,9,18,,,25.50
"       (2011 HN24)",1.374,0.3114,1.10,205.29,323.59,0.946,1.80,1.61,27,7,28,,,27.70
"       (2011 HC36)",1.641,0.4074,15.48,200.73,121.71,0.972,2.31,2.1,7698,0,212,,,20.70
"       (2011 HR60)",2.205,0.5988,3.87,220.21,300.52,0.885,3.52,3.27,12,8,25,,,24.60
"       (2011 HS60)",1.109,0.4260,15.75,59.05,306.67,0.637,1.58,1.17,3217,1,78,,,21.30
"       (2011 HD63)",2.035,0.5127,5.43,175.98,135.96,0.992,3.08,2.9,156,5,116,,,22.70
"       (2011 JA)",1.185,0.2875,41.62,215.01,286.17,0.844,1.53,1.29,6773,0,90,,,21.41
"       (2011 JD1)",1.112,0.3576,21.95,34.31,85.63,0.714,1.51,1.17,18,8,75,,,21.70
"       (2011 JY1)",1.264,0.4126,2.56,216.22,278.08,0.743,1.79,1.42,923,0,108,1,1,24.60
"       (2011 JN5)",1.013,0.4213,17.58,224.59,241.48,0.586,1.44,1.02,5,8,20,,,25.20
"       (2011 JV10)",1.141,0.2029,1.38,218.70,299.88,0.909,1.37,1.22,2,7,18,,,29.70
