"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2013 RB35)",4.824,0.6686,4.72,24.70,357.94,1.599,8.05,10.6,3,9,18,,,19.38
"       (2013 SS82)",4.789,0.6158,11.37,169.11,133.48,1.840,7.74,10.5,2,9,12,,,17.95
"       (2013 VB17)",5.447,0.7104,13.02,92.44,353.51,1.577,9.32,12.7,76,4,105,,,18.33
"       (2014 DB64)",5.253,0.3929,4.31,108.70,50.04,3.189,7.32,12,468,4,31,,,16.00
"       (2014 HF89)",4.778,0.6559,6.10,131.85,354.14,1.644,7.91,10.4,1,9,10,,,19.33
"       (2014 JL128)",5.449,0.5185,22.70,186.14,105.54,2.624,8.27,12.7,4902,0,23,,,16.00
"       (2014 OY165)",5.402,0.7037,4.99,11.04,202.98,1.600,9.20,12.6,2,9,10,,,17.91
"       (2014 RV60)",5.131,0.7004,3.76,261.70,101.28,1.537,8.73,11.6,4,9,11,,,20.04
"       (2014 SZ398)",4.615,0.3461,19.15,136.58,247.66,3.018,6.21,9.92,481,4,17,,,15.70
"       (2014 WY359)",5.008,0.4427,13.61,74.00,14.53,2.791,7.23,11.2,920,3,30,,,16.30
"       (2015 AV167)",4.66,0.6424,4.80,108.91,102.29,1.666,7.65,10.1,2,9,11,,,18.74
"       (2015 AJ260)",4.719,0.5791,8.02,169.31,274.06,1.986,7.45,10.3,83,5,26,,,18.40
"       (2015 BA286)",5.036,0.6675,11.77,264.33,144.07,1.674,8.40,11.3,2,9,14,,,18.39
"       (2015 BB555)",5.424,0.6731,9.99,227.89,283.69,1.773,9.08,12.6,2,9,12,,,18.53
"       (2015 HC157)",4.734,0.6638,20.09,218.15,263.95,1.592,7.88,10.3,1,9,10,,,18.06
"       (2015 HF178)",5.051,0.3210,5.58,42.74,195.72,3.429,6.67,11.4,4866,1,48,,,15.40
"       (2015 KW15)",4.608,0.3894,12.88,172.45,58.23,2.814,6.40,9.89,4075,0,54,,,16.00
"       (2015 PC58)",5.11,0.3845,24.22,292.49,306.84,3.145,7.08,11.6,7127,0,64,,,13.98
"       (2015 VA53)",5.43,0.6404,30.85,168.48,137.26,1.952,8.91,12.7,574,4,25,,,16.04
"       (2015 VY199)",4.622,0.4674,8.68,224.69,196.69,2.462,6.78,9.94,25,7,14,,,18.30
"       (2015 YB2)",5.313,0.5749,10.08,135.98,307.16,2.259,8.37,12.2,27,6,32,,,17.60
"       (2015 YJ22)",5.056,0.5582,5.34,100.15,318.09,2.234,7.88,11.4,971,3,43,,,16.30
"       (2016 CE150)",5.024,0.3694,3.27,103.00,155.76,3.168,6.88,11.3,1745,1,114,,,14.90
"       (2016 GJ51)",5.248,0.7328,0.41,229.54,62.65,1.402,9.09,12,1,9,7,,,18.51
"       (2016 NG39)",4.921,0.6226,36.07,163.68,157.34,1.857,7.99,10.9,638,4,221,,,15.70
"       (2016 PH135)",5.369,0.4960,18.43,86.06,305.76,2.706,8.03,12.4,454,4,30,,,15.70
"       (2016 UV4)",4.755,0.5166,13.07,240.01,166.68,2.299,7.21,10.4,90,5,61,,,16.80
"       (2016 UX186)",4.823,0.5665,7.66,19.03,99.36,2.091,7.56,10.6,1,9,25,,,18.39
"       (2016 UP208)",5.259,0.5067,3.17,29.05,92.25,2.594,7.92,12.1,1,9,19,,,17.18
"       (2016 UX211)",5.148,0.6439,18.66,218.61,280.13,1.833,8.46,11.7,1,9,10,,,17.54
"       (2016 UY220)",5.271,0.5117,2.73,47.10,285.01,2.574,7.97,12.1,1,9,7,,,18.07
"       (2016 UG221)",4.891,0.6308,2.12,49.45,274.98,1.806,7.98,10.8,1,9,24,,,19.48
"       (2016 UE223)",5.064,0.6650,4.48,38.89,269.16,1.697,8.43,11.4,1,9,10,,,18.96
"       (2016 UV229)",4.815,0.6109,10.17,32.20,268.88,1.873,7.76,10.6,1,9,20,,,17.52
"       (2016 UN244)",5.201,0.7398,8.14,210.90,91.53,1.353,9.05,11.9,1,9,8,,,19.27
"       (2016 VS10)",5.381,0.4724,10.31,209.72,210.42,2.839,7.92,12.5,34,5,38,,,17.59
"       (2016 YB13)",5.457,0.4063,139.75,295.84,300.40,3.240,7.67,12.7,642,2,83,,,15.64
"       (2017 BP90)",4.809,0.7017,8.72,339.69,234.31,1.435,8.18,10.5,1,9,11,,,19.32
"       (2017 CD39)",4.792,0.3084,24.30,287.52,299.74,3.314,6.27,10.5,1298,3,21,,,15.50
"       (2017 OY68)",4.806,0.5741,38.42,42.29,344.45,2.047,7.57,10.5,168,4,158,,,16.60
"       (2017 RC50)",4.852,0.6258,3.43,16.72,68.17,1.815,7.89,10.7,11,9,10,,,17.80
"       (2017 SF121)",5.212,0.6858,1.79,62.64,15.80,1.638,8.79,11.9,1,9,10,,,19.05
"       (2017 SN215)",5.173,0.5059,18.92,204.03,160.25,2.556,7.79,11.8,66,5,34,,,16.80
"       (2017 TX13)",4.971,0.4273,51.12,146.42,220.80,2.847,7.10,11.1,5657,2,42,,,15.00
"       (2017 WJ30)",5.444,0.5343,8.52,174.26,298.67,2.535,8.35,12.7,5263,2,51,,,16.10
"       (2017 XJ65)",4.705,0.4429,13.36,40.18,118.94,2.621,6.79,10.2,118,4,26,,,16.30
"       (2018 PM18)",4.835,0.6568,1.52,3.88,29.84,1.660,8.01,10.6,1,9,14,,,18.74
"       (2018 PW27)",5.496,0.6293,17.60,137.90,262.20,2.037,8.96,12.9,2,9,18,,,17.67
"       (2018 PZ27)",4.993,0.6609,8.54,137.63,95.45,1.693,8.29,11.2,2,9,17,,,18.70
"       (2018 UH25)",5.221,0.4746,25.83,59.77,340.52,2.743,7.70,11.9,4870,0,44,,,15.74
"       (2019 KW30)",4.826,0.6638,11.88,108.61,37.06,1.623,8.03,10.6,4302,3,25,,,17.10
"       (2019 LM26)",4.684,0.4339,22.22,52.07,177.17,2.652,6.72,10.1,32,5,14,,,17.20
"       (2020 BH125)",5.49,0.4081,5.22,8.59,154.09,3.249,7.73,12.9,7,7,15,,,16.90
"       (2020 HQ62)",4.91,0.3902,14.17,67.07,202.79,2.994,6.83,10.9,4461,1,40,,,16.50
"       (2020 MM5)",5.251,0.5736,6.31,234.87,93.00,2.239,8.26,12,641,3,114,,,16.80
"       (2020 PY28)",4.727,0.6660,19.57,38.15,300.13,1.579,7.88,10.3,122,4,38,,,17.80
"       (2021 AQ)",5.109,0.5658,43.59,86.16,340.16,2.218,8.00,11.5,2,9,10,,,18.37
"       (2021 CX19)",4.857,0.4653,16.20,153.90,68.18,2.597,7.12,10.7,89,4,28,,,17.49
"       (2021 CD29)",4.792,0.3833,10.11,203.07,310.06,2.955,6.63,10.5,117,3,57,,,16.50
"       (2022 LQ7)",5.207,0.5802,19.42,333.36,345.77,2.186,8.23,11.9,147,4,51,,,17.14
"       (2023 OY20)",5.06,0.5198,8.69,228.20,90.57,2.430,7.69,11.4,,0,27,,,16.87
"       (2023 QT49)",5.301,0.3287,48.21,325.80,32.35,3.559,7.04,12.2,32,7,20,,,16.22
