"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","a","n_del_obs_used","n_dop_obs_used","H"
"     C/2017 C1 (NEOWISE)",0.9278,1.502,65.75,357.46,110.20,40.11,2017-01-18.9,94.9,HTC,102,5,60,,,,,,20.8,,,
"     C/2017 C2 (PANSTARRS)",0.9753,2.431,118.58,249.82,138.78,194.49,2017-01-21.6,977,COM,535,3,97,,,,,,98.46,,,
"     P/2017 D1 (Fuls)",0.4403,2.688,20.73,82.34,7.26,6.92,2016-06-28.2,10.5,JFc,546,4,77,,,,,,4.803,,,
"     C/2017 D2 (Barros)",0.9982,2.486,31.27,331.04,334.34,2758.16,2017-07-14.5,5.13e+04,COM,594,,433,,,,,,1380,,,
"     C/2017 D3 (ATLAS)",1.0024,4.971,125.57,186.62,340.77,,2017-04-26.7,,HYP,788,,523,,,,,,-2040,,,
"     P/2017 D4 (PANSTARRS)",0.6289,2.755,10.34,266.10,209.80,12.09,2016-09-06.6,20.2,JFc,123,5,91,,,,,,7.423,,,
"     C/2017 D5 (PANSTARRS)",0.9808,2.167,131.04,92.72,287.82,223.18,2017-01-08.8,1.2e+03,COM,73,,75,,,,,,112.7,,,
"     C/2017 E1 (Borisov)",1.0026,0.901,14.55,142.73,152.47,,2017-04-10.1,,HYP,116,,183,,,,,,-349.9,,,
"     C/2017 E2 (Tsuchinshan)",0.8909,2.353,79.17,11.56,89.46,40.78,2016-05-12.2,100,HTC,89,5,149,,,,,,21.57,,,
"     C/2017 E3 (PANSTARRS)",1.0129,5.926,70.72,220.74,334.28,,2017-06-06.9,,HYP,2380,,620,,,,,,-459,,,
"     C/2017 E4 (Lovejoy)",0.9990,0.494,88.19,223.17,87.24,950.89,2017-04-23.3,1.04e+04,COM,46,,642,,1.8e-07,-7.6e-08,,,475.7,,,
"     C/2017 E5 (Lemmon)",0.9956,1.783,122.64,206.19,306.77,816.18,2016-06-10.8,8.27e+03,COM,645,,112,,,,,,409,,,
"     C/2017 F1 (Lemmon)",1.0041,4.500,146.48,158.74,64.81,,2017-11-30.9,,HYP,407,,89,,,,,,-1095,,,
"     C/2017 F2 (PANSTARRS)",1.0052,6.928,42.51,38.67,134.90,,2017-11-26.1,,HYP,705,,73,,,,,,-1333,,,
"     P/2017 G1 (PANSTARRS)",0.6612,2.621,3.53,259.36,218.55,12.85,2016-05-14.0,21.5,JFc,24,7,26,,,,,,7.736,,,
"     P/2017 G2 (PANSTARRS)",0.6503,2.846,47.91,79.82,105.94,13.43,2017-06-13.9,23.2,HTC,130,5,165,,,,,,8.139,,,
"     C/2017 G3 (PANSTARRS)",0.9911,2.590,159.05,279.47,73.10,576.80,2017-04-15.0,4.93e+03,COM,343,,155,,,,,,289.7,,,
"     C/2017 K1 (PANSTARRS)",1.0021,7.286,154.01,225.64,4.20,,2018-03-14.7,,HYP,1364,,138,,,,,,-3479,,,
"     C/2017 K2 (PANSTARRS)",1.0005,1.798,87.55,88.25,236.18,,2022-12-19.8,,HYP,3791,,639,,6.6e-08,-3.3e-08,,,-3825,,,
"     P/2017 K3 (Gasparovic)",0.5812,2.334,4.28,354.33,253.21,8.81,2017-05-31.4,13.2,JFc,174,5,99,,,,,,5.573,,,
"     C/2017 K4 (ATLAS)",0.9059,2.648,16.68,298.90,15.11,53.61,2018-01-08.0,149,JFc,646,3,556,,,,,,28.13,,,
"     C/2017 K5 (PANSTARRS)",1.0042,7.680,82.26,102.38,171.72,,2020-03-22.4,,HYP,1139,,116,,,,,,-1819,,,
"     C/2017 K6 (Jacques)",0.9982,2.003,57.25,85.05,303.84,2249.73,2018-01-03.1,3.78e+04,COM,626,,475,,,,,,1126,,,
"     C/2017 M3 (PANSTARRS)",0.9732,4.656,77.51,7.00,110.33,343.28,2017-04-28.2,2.29e+03,COM,356,,65,,,,,,174,,,
"     C/2017 M4 (ATLAS)",1.0011,3.252,105.66,65.87,167.65,,2019-01-18.3,,HYP,1628,,3296,,9.0e-06,1.1e-06,2.2e-06,,-2997,,,
"     C/2017 M5 (TOTAS)",1.0037,5.990,15.88,216.26,92.66,,2018-06-02.9,,HYP,1366,,461,,,,,,-1602,,,
"     C/2017 O1 (ASASSN)",0.9964,1.499,39.85,25.81,20.91,837.04,2017-10-14.7,8.59e+03,COM,601,,2877,,,,,,419.3,,,
"     P/2017 P1 (PANSTARRS)",0.3085,5.438,7.70,221.39,122.27,10.29,2018-06-18.5,22.1,JFc,446,5,46,,,,,,7.864,,,
"     C/2017 P2 (PANSTARRS)",0.9980,2.462,50.08,165.55,132.24,2418.79,2017-12-06.5,4.21e+04,COM,307,,50,,,,,,1211,,,
"     C/2017 S2 (PANSTARRS)",0.8231,3.615,12.68,62.43,305.97,37.25,2017-08-29.3,92.4,JFc,175,4,67,,,,,,20.43,,,
"     C/2017 S3 (PANSTARRS)",1.0001,0.208,99.04,171.04,255.89,,2018-08-15.9,,HYP,351,,986,,,,,,-2674,,,
"     C/2017 S6 (Catalina)",1.0014,1.543,152.83,130.87,134.69,,2018-02-26.9,,HYP,337,,247,,,,,,-1096,,,
"     C/2017 S7 (Lemmon)",1.0025,7.614,124.22,262.79,187.75,,2017-05-27.8,,HYP,1056,,157,,,,,,-3046,,,
"     P/2017 S8 (PANSTARRS)",0.3935,1.683,29.85,191.80,254.57,3.87,2018-01-28.6,4.62,ETc,137,4,178,,,,,,2.775,,,
"     C/2017 T1 (Heinze)",1.0003,0.581,96.83,102.32,96.92,,2018-02-21.7,,HYP,262,,1005,,4.7e-08,-1.6e-08,,,-1679,,,
"     C/2017 T2 (PANSTARRS)",0.9997,1.615,57.23,64.38,92.99,10013.24,2020-05-04.9,3.54e+05,COM,1434,,6896,,3.6e-08,-7.6e-10,-3.3e-10,-46.6,5007,,,
"     C/2017 T3 (ATLAS)",0.9994,0.825,88.11,230.09,246.89,2687.57,2018-07-19.1,4.93e+04,COM,535,,542,,5.1e-08,1.1e-08,,,1344,,,
"     P/2017 TW13 (Lemmon)",0.7098,2.079,44.84,322.28,120.11,12.25,2018-06-20.9,19.2,JFC,718,3,208,,,,,,7.162,,,
"     C/2017 U2 (Fuls)",1.0000,6.701,95.43,149.71,147.73,,2017-08-28.1,,HYP,416,,59,,,,,,-5.416e+05,,,
"     P/2017 U3 (PANSTARRS)",0.1000,4.443,15.91,165.15,297.46,5.43,2019-04-21.8,11,JFc,454,4,73,,,,,,4.937,,,
"     C/2017 U4 (PANSTARRS)",1.0030,7.724,158.23,245.95,159.18,,2018-09-25.6,,HYP,1150,,85,,,,,,-2538,,,
"     C/2017 U5 (PANSTARRS)",0.7446,4.327,18.96,163.12,262.15,29.55,2017-12-19.1,69.7,JFc,114,4,92,,,,,,16.94,,,
"     C/2017 U7 (PANSTARRS)",1.0016,6.417,142.64,276.23,326.07,,2019-09-11.7,,HYP,1811,,910,,,,,,-3974,,,
"     C/2017 W2 (Leonard)",0.7113,3.957,98.18,312.81,169.16,23.45,2017-11-01.9,50.7,HTC,384,4,169,,,,,,13.71,,,
"     P/2017 W3 (Gibbs)",0.5039,3.837,18.32,210.75,326.46,11.63,2018-02-25.0,21.5,JFc,198,4,142,,,,,,7.735,,,
"     C/2017 X1 (PANSTARRS)",0.8511,4.663,31.31,251.13,283.11,57.97,2018-06-14.4,175,JFc,893,3,127,,,,,,31.32,,,
"     C/2017 Y1 (PANSTARRS)",0.9990,3.719,55.24,307.51,134.45,7578.78,2017-08-31.4,2.33e+05,COM,480,,92,,,,,,3791,,,
"     C/2017 Y2 (PANSTARRS)",1.0010,4.632,128.42,65.99,147.86,,2020-11-04.5,,HYP,1680,,956,,,,,,-4812,,,
"     P/2017 Y3 (Leonard)",0.8707,1.275,27.59,153.87,67.53,18.45,2018-02-11.2,31,HTC,265,4,93,,,,,,9.865,,,
"     C/2018 A1 (PANSTARRS)",0.9044,2.419,53.56,336.62,96.39,48.19,2017-10-20.4,127,HTC,156,4,118,,,,,,25.3,,,
"     C/2018 A3 (ATLAS)",0.9934,3.277,139.56,194.28,86.43,988.63,2019-01-12.8,1.1e+04,COM,1018,,1589,,,,,,496,,,
"     C/2018 A4 (PANSTARRS)",0.8044,2.403,3.15,97.63,356.14,22.16,2018-05-18.8,43,JFc,182,5,79,,,,,,12.28,,,
"     P/2018 A5 (PANSTARRS)",0.5230,2.694,23.58,87.83,359.68,8.60,2017-09-23.8,13.4,JFc,393,4,36,,,,,,5.648,,,
"     C/2018 A6 (Gibbs)",0.8034,3.018,76.95,340.39,264.53,27.69,2019-07-14.2,60.2,HTC,2366,2,871,,,,,,15.35,,,
"     C/2018 B1 (Lemmon)",1.0030,5.117,162.42,133.17,68.35,,2018-03-30.4,,HYP,1018,,316,,,,,,-1723,,,
"     P/2018 C1 (Lemmon-Read)",0.5345,2.596,5.13,270.45,234.33,8.56,2018-02-25.5,13.2,JFc,133,4,121,,,,,,5.576,,,
"     C/2018 C2 (Lemmon)",1.0018,1.957,34.45,91.14,134.14,,2018-06-02.2,,HYP,272,,1672,,,,,,-1083,,,
"     C/2018 DO4 (Lemmon)",0.9070,2.406,160.47,251.13,175.97,49.31,2019-08-18.4,131,HTC,2269,1,660,,,,,,25.86,,,
"     C/2018 E1 (ATLAS)",0.9503,2.705,72.48,146.84,299.47,106.27,2018-04-17.3,402,COM,1351,2,227,,,,,,54.49,,,
"     C/2018 E2 (Barros)",0.9976,3.922,97.74,67.20,277.48,3265.63,2017-12-23.6,6.61e+04,COM,1686,,62,,,,,,1635,,,
"     C/2018 EN4 (NEOWISE)",0.9214,1.448,81.56,136.17,35.01,35.40,2018-06-07.7,79.1,HTC,213,4,77,,,,,,18.43,,,
"     C/2018 EF9 (Lemmon)",0.9976,1.557,84.69,172.58,72.62,1281.83,2018-05-23.1,1.63e+04,COM,186,,191,,,,,,641.7,,,
"     C/2018 F1 (Grauer)",0.9907,2.993,46.07,177.29,71.63,641.41,2018-12-14.0,5.78e+03,COM,594,,221,,,,,,322.2,,,
"     C/2018 F3 (Johnson)",1.0000,2.483,105.53,173.03,293.01,,2017-08-15.2,,HYP,17,,51,T,,,,,-1.529e+05,,,
"     C/2018 F4 (PANSTARRS)",1.0015,3.440,78.10,26.51,263.20,,2019-12-04.0,,HYP,1330,,530,,,,,,-2261,,,
"     C/2018 F4-A (PANSTARRS)",1.0013,3.440,78.10,26.51,263.22,,2019-12-04.1,,HYP,442,,146,,,,,,-2581,,,
"     C/2018 F4-B (PANSTARRS)",1.0014,3.440,78.09,26.51,263.21,,2019-12-04.0,,HYP,420,,167,,,,,,-2428,,,
"     P/2018 H2 (PANSTARRS)",0.5400,2.027,7.39,68.46,120.23,6.79,2018-01-23.4,9.25,JFc,207,5,169,,,,,,4.407,,,
"     C/2018 K1 (Weiland)",0.9372,1.879,164.19,260.00,325.00,57.98,2018-04-06.8,164,HTC,251,4,163,,,,,,29.93,,,
"     C/2018 KJ3 (Lemmon)",0.9958,3.627,136.67,91.59,217.71,1729.53,2019-09-09.9,2.55e+04,COM,614,,465,,,,,,866.6,,,
"     P/2018 L1 (PANSTARRS)",0.4833,1.886,10.59,268.63,17.89,5.41,2018-11-12.5,6.97,JFc,162,5,69,,,,,,3.65,,,
"     C/2018 L2 (ATLAS)",0.9930,1.712,67.42,243.02,56.23,486.05,2018-12-02.5,3.81e+03,COM,996,,731,,-2.7e-08,-1.8e-09,,,243.9,,,
"     P/2018 L4 (PANSTARRS)",0.6603,1.676,26.63,145.19,140.43,8.19,2018-07-31.8,11,JFc,149,4,129,,,,,,4.935,,,
"     P/2018 L5 (Leonard)",0.3645,2.303,2.21,219.16,93.65,4.95,2018-05-04.5,6.9,JFc,559,4,201,,,,,,3.625,,,
"     C/2018 M1 (Catalina)",0.9387,1.303,37.26,339.46,14.13,41.22,2018-07-10.0,98.1,HTC,206,4,171,,,,,,21.26,,,
"     C/2018 N1 (NEOWISE)",0.9969,1.307,159.44,292.44,354.56,842.62,2018-08-01.9,8.67e+03,COM,295,,263,,,,,,422,,,
"     C/2018 N2 (ASASSN)",1.0002,3.125,77.53,25.26,24.40,,2019-11-10.9,,HYP,1421,,4653,,,,,,-1.702e+04,,,
"     C/2018 O1 (ATLAS)",0.9441,1.558,154.04,87.62,162.50,54.19,2018-08-31.5,147,HTC,78,6,331,,,,,,27.87,,,
"     P/2018 P3 (PANSTARRS)",0.4159,1.756,8.91,59.21,305.89,4.26,2018-10-09.4,5.21,ETc,2031,1,289,,,,,,3.007,,,
"     P/2018 P4 (PANSTARRS)",0.4493,3.666,23.11,353.11,8.12,9.65,2018-11-07.3,17.2,JFc,147,4,116,,,,,,6.657,,,
"     C/2018 P5 (PANSTARRS)",0.6409,4.576,7.26,216.24,131.63,20.91,2019-02-26.2,45.5,JFc,597,4,93,,,,,,12.74,,,
"     C/2018 R3 (Lemmon)",0.9993,1.291,69.72,324.63,112.88,3938.91,2019-06-07.1,8.74e+04,COM,573,,272,,,,,,1970,,,
"     C/2018 R4 (Fuls)",0.9944,1.709,11.68,298.46,345.15,604.26,2018-03-03.6,5.27e+03,COM,125,,114,,,,,,303,,,
"     C/2018 R5 (Lemmon)",0.8416,3.621,103.76,171.14,178.01,42.09,2019-01-09.9,109,HTC,131,5,187,,,,,,22.86,,,
"     C/2018 S2 (TESS)",0.6149,5.471,64.22,85.13,290.68,22.94,2018-11-05.1,53.5,HTC,585,4,803,,,,,,14.21,,,
"     C/2018 S3 (TESS)",1.0013,8.000,78.42,24.98,263.85,,2016-06-29.5,,HYP,1750,,35,,,,,,-6079,,,
"     C/2018 U1 (Lemmon)",1.0008,4.994,108.30,75.48,180.42,,2021-11-02.8,,HYP,1686,,2452,,,,,,-6211,,,
"     C/2018 V1 (Machholz-Fujikawa-Iwamoto)",1.0004,0.387,143.99,128.72,88.77,,2018-12-03.5,,HYP,37,,750,,,,,,-990.7,,,
"     C/2018 V2 (ATLAS)",0.9029,2.475,159.11,356.79,318.66,48.49,2018-11-26.9,129,HTC,297,3,173,,,,,,25.48,,,
"     P/2018 VN2 (Leonard)",0.4777,2.123,18.24,226.55,138.78,6.00,2018-06-05.3,8.19,JFc,164,4,114,,,,,,4.064,,,
"     C/2018 V4 (Africano)",0.9848,3.199,69.00,78.38,0.01,418.49,2019-03-01.6,3.06e+03,COM,125,,159,,,,,,210.8,,,
"     P/2018 V5 (Trujillo-Sheppard)",0.4746,4.708,10.58,171.33,260.81,13.21,2018-10-03.8,26.8,JFc,851,4,21,,,,,,8.961,,,
"     C/2018 W1 (Catalina)",0.9377,1.360,83.28,233.59,251.25,42.28,2019-05-11.8,102,HTC,552,2,287,,,,,,21.82,,,
