"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","a","n_del_obs_used","n_dop_obs_used","H"
"    1P/Halley",0.9679,0.575,162.19,59.11,112.26,35.28,1986-02-08.6,75.9,HTC,57852,0,8548,,4.8e-10,1.6e-10,,,17.93,,,
"    2P/Encke",0.8483,0.336,11.78,334.56,186.56,4.09,2017-03-10.0,3.3,ETc,5157,0,3143,,,,,,2.215,,,
"    3D/Biela",0.7513,0.879,13.22,250.67,221.66,6.19,1832-11-26.6,6.65,JFc,,,26,,3.9e-09,-2.5e-10,,,3.535,,,
"    4P/Faye",0.5845,1.578,8.16,194.80,205.99,6.02,2021-09-05.6,7.4,JFc,3593,0,3562,,4.0e-09,3.2e-10,-7.1e-10,-37.7,3.798,,,
"    5D/Brorsen",0.8098,0.590,29.38,102.97,14.95,5.61,1879-03-31.0,5.46,JFc,,,127,,1.3e-08,1.3e-09,,,3.101,,,
"    6P/d'Arrest",0.6127,1.355,19.51,138.94,178.11,5.64,2021-09-17.7,6.54,JFc,2913,1,1093,,1.8e-10,-8.5e-10,,,3.497,,,
"    7P/Pons-Winnecke",0.6376,1.239,22.33,93.42,172.51,5.60,2015-01-30.5,6.32,JFc,37122,0,1679,,6.4e-11,-5.2e-12,-1.0e-10,150,3.419,,,
"    8P/Tuttle",0.8198,1.027,54.98,270.34,207.51,10.37,2008-01-27.0,13.6,JFC,20161,0,1768,,4.2e-10,-1.7e-11,-4.6e-11,67.5,5.7,,,
"    9P/Tempel 1",0.5098,1.542,10.47,68.76,179.19,4.75,2016-08-02.5,5.58,JFc,5444,0,3218,,2.6e-11,1.2e-11,,,3.146,,,
"   10P/Tempel 2",0.5363,1.421,12.03,117.80,195.55,4.71,2010-07-04.4,5.37,JFc,7341,0,4406,,2.2e-10,5.3e-12,6.7e-11,,3.065,,,
"   11P/Tempel-Swift-LINEAR",0.5774,1.390,14.44,238.99,167.77,5.19,2020-11-26.0,5.96,JFc,7002,0,1182,,,,,,3.289,,,
"   12P/Pons-Brooks",0.9545,0.781,74.19,255.85,198.99,33.57,2024-04-21.1,71.2,HTC,25667,0,3218,,,,,,17.18,,,
"   13P/Olbers",0.9298,1.171,44.63,85.84,64.58,32.16,2024-06-30.6,68,HTC,24707,0,46,,,,,,16.67,,,
"   14P/Wolf",0.3575,2.729,27.94,202.11,159.20,5.76,2009-02-27.6,8.75,JFc,10439,0,361,,,,,,4.247,,,
"   15P/Finlay",0.7202,0.977,6.80,13.75,347.63,6.00,2014-12-27.0,6.52,JFc,5058,0,1655,,2.2e-09,-2.3e-10,1.6e-09,,3.49,,,
"   16P/Brooks 2",0.5690,1.455,4.31,159.34,220.17,5.29,2014-06-14.7,6.2,JFc,2826,1,256,,9.2e-09,-3.7e-09,,,3.375,,,
"   17P/Holmes",0.4302,2.066,19.07,326.77,24.74,5.19,2014-03-26.7,6.91,JFc,4401,0,2211,,2.9e-09,9.8e-10,,,3.626,,,
"   18D/Perrine-Mrkos",0.6426,1.272,17.76,240.88,166.05,5.85,1968-11-01.5,6.72,JFc,2584,1,16,,,,,,3.56,,,
"   19P/Borrelly",0.6379,1.306,29.32,74.30,351.86,5.91,2022-02-01.7,6.85,JFc,3219,0,2442,,3.1e-09,-5.5e-10,,,3.607,,,
"   20D/Westphal",0.9198,1.254,40.89,348.01,57.08,30.03,1913-11-26.7,61.9,HTC,22321,0,201,,,,,,15.64,,,
"   21P/Giacobini-Zinner",0.7105,1.013,32.00,195.41,172.81,5.99,2018-09-10.2,6.55,JFc,3196,0,1987,,3.1e-09,-1.8e-09,-1.8e-09,,3.5,,,
"   22P/Kopff",0.5486,1.555,4.74,120.84,162.91,5.33,2022-03-17.8,6.39,JFc,3540,0,2655,,,,,,3.444,,,
"   23P/Brorsen-Metcalf",0.9720,0.479,19.33,311.59,129.61,33.66,1989-09-11.9,70.5,HTC,51904,0,223,,2.2e-09,-5.3e-10,,,17.07,,,
"   24P/Schaumasse",0.7048,1.206,11.73,79.67,58.00,6.97,2017-11-16.7,8.26,JFc,6464,3,832,,1.1e-09,-1.0e-09,,,4.086,,,
"   25D/Neujmin 2",0.5668,1.338,10.64,328.72,193.70,4.84,1927-01-16.2,5.43,JFc,3994,1,55,,,,,,3.089,,,
"   26P/Grigg-Skjellerup",0.6339,1.112,22.41,211.64,1.64,4.96,2008-03-23.7,5.3,JFc,5475,0,430,,,,,,3.038,,,
"   27P/Crommelin",0.9193,0.734,29.22,250.96,195.96,17.45,2011-08-02.5,27.4,HTC,20203,0,455,,5.1e-10,-2.7e-12,,,9.093,,,
"   28P/Neujmin 1",0.7736,1.581,14.31,346.34,347.47,12.38,2021-03-11.7,18.4,JFc,40006,0,1169,,,,,,6.982,,,
"   29P/Schwassmann-Wachmann 1",0.0448,5.777,9.36,312.39,50.91,6.32,2019-04-19.7,14.9,JFc,5053,0,624,,,,,,6.047,,,
"   30P/Reinmuth 1",0.5017,1.880,8.13,119.73,13.15,5.67,2010-04-19.9,7.33,JFc,5145,0,1896,,-3.6e-09,3.5e-11,,,3.774,,,
"   31P/Schwassmann-Wachmann 2",0.1930,3.424,4.55,114.19,17.93,5.06,2010-09-29.4,8.74,JFc,7492,0,1019,,,-5.3e-08,,,4.243,,,
"   32P/Comas Sola",0.5560,2.001,9.97,57.82,53.30,7.01,2014-10-17.4,9.57,JFc,3655,0,1937,,,,,,4.506,,,
"   33P/Daniel",0.4624,2.166,22.39,66.54,18.90,5.89,2008-07-20.4,8.09,JFc,6347,1,421,,3.4e-09,4.7e-10,,,4.03,,,
"   34D/Gale",0.7607,1.183,11.73,67.92,209.16,8.70,1938-06-18.4,11,JFc,,,47,F,,,,,4.944,,,
"   35P/Herschel-Rigollet",0.9740,0.748,64.21,355.98,29.30,56.94,1939-08-09.4,155,HTC,,,75,F,,,,,28.84,,,
"   36P/Whipple",0.2582,3.089,9.94,182.39,201.96,5.24,2012-01-01.4,8.5,JFc,26894,0,943,,5.3e-09,-5.4e-10,,,4.165,,,
"   37P/Forbes",0.5345,1.609,8.96,314.64,330.00,5.30,2018-05-04.1,6.42,JFc,2866,1,1199,,7.7e-09,2.0e-10,,,3.456,,,
"   38P/Stephan-Oterma",0.8593,1.589,18.35,78.00,359.59,20.99,2018-11-10.9,37.9,HTC,28321,0,3265,,,-2.7e-11,,,11.29,,,
"   39P/Oterma",0.2293,5.702,1.47,304.58,88.70,9.10,2023-04-03.9,20.1,CTc,29021,0,263,,,,,,7.399,,,
"   40P/Vaisala 1",0.6316,1.820,11.49,133.84,47.29,8.06,2014-11-15.8,11,JFc,27930,0,1128,,,-1.1e-10,,,4.94,,,
"   41P/Tuttle-Giacobini-Kresak",0.6613,1.045,9.23,141.06,62.17,5.13,2017-04-12.7,5.42,JFc,2498,3,4300,,6.6e-09,-2.1e-10,,,3.085,,,
"   42P/Neujmin 3",0.5842,2.028,3.98,150.28,147.12,7.73,2015-04-08.2,10.8,JFc,15880,0,297,,1.3e-08,-1.0e-09,,77.1,4.876,,,
"   43P/Wolf-Harrington",0.5949,1.357,15.97,249.87,191.56,5.34,2016-08-19.4,6.13,JFc,2939,0,1639,,3.6e-09,2.4e-10,,,3.35,,,
"   44P/Reinmuth 2",0.4262,2.118,5.90,286.46,58.18,5.26,2015-03-23.6,7.09,JFc,5753,0,1803,,,-6.3e-10,,,3.691,,,
"   45P/Honda-Mrkos-Pajdusakova",0.8240,0.533,4.25,88.93,326.34,5.52,2016-12-31.2,5.26,JFc,2067,1,1823,,5.4e-09,1.8e-10,,-25.8,3.026,8,4,
"   46P/Wirtanen",0.6588,1.055,11.75,82.16,356.34,5.13,2018-12-12.9,5.44,JFc,419,2,4179,,4.0e-09,-1.3e-09,8.1e-10,,3.093,4,1,
"   47P/Ashbrook-Jackson",0.3188,2.802,13.05,356.98,357.84,5.43,2009-02-01.3,8.34,JFc,16797,0,2764,,,,,,4.114,,,
"   48P/Johnson",0.3678,2.302,13.66,117.29,207.83,4.98,2011-09-28.9,6.95,JFc,26847,0,2153,,5.6e-09,-1.7e-10,,,3.642,,,
"   49P/Arend-Rigaux",0.6003,1.424,19.05,118.88,332.79,5.70,2011-10-19.0,6.72,JFc,7023,0,3386,,-1.4e-10,4.8e-11,3.4e-10,152,3.563,,,
"   50P/Arend",0.5299,1.922,19.16,355.32,49.01,6.25,2007-11-01.5,8.27,JFc,8813,0,1718,,2.1e-09,-1.1e-10,,,4.088,,,
"   51P/Harrington",0.5420,1.699,5.42,83.72,269.16,5.72,2015-08-12.4,7.15,JFc,2701,2,99,,3.0e-07,-8.7e-08,-2.1e-08,,3.71,,,
"   51P/Harrington-A",0.5621,1.568,8.65,119.19,233.59,5.59,2001-06-05.6,6.78,JFc,7593,2,246,,2.6e-08,3.1e-09,,,3.581,,,
"   51P/Harrington-D",0.5424,1.697,5.43,83.68,269.23,5.72,2022-10-02.7,7.14,JFc,2732,1,142,,,1.4e-08,,,3.709,,,
"   52P/Harrington-Abell",0.5401,1.775,10.23,336.84,139.66,5.94,2014-03-07.3,7.58,JFc,3159,0,1156,,-4.8e-09,-1.6e-10,,,3.859,,,
"   53P/Van Biesbroeck",0.5511,2.426,6.61,148.90,134.26,8.38,2016-04-30.8,12.6,JFc,6192,0,2920,,-1.2e-08,4.5e-09,2.3e-09,-183,5.405,,,
"   54P/de Vico-Swift-NEAT",0.4270,2.172,6.07,358.86,1.93,5.41,2009-11-28.5,7.38,JFc,16209,1,141,,6.7e-09,6.9e-10,,,3.79,,,
"   55P/Tempel-Tuttle",0.9056,0.976,162.49,235.27,172.50,19.70,1998-02-28.0,33.2,HTC,48407,,392,,1.6e-09,9.2e-11,,,10.34,,,
"   56P/Slaughter-Burnham",0.5073,2.506,8.15,346.04,44.22,7.67,2016-07-18.0,11.5,JFc,4940,0,1986,,-3.8e-08,2.0e-08,,,5.086,,,
"   57P/duToit-Neujmin-Delporte",0.4998,1.726,2.85,188.81,115.13,5.17,2015-05-22.5,6.41,JFc,5426,0,1377,,1.2e-08,-5.9e-11,-6.1e-10,,3.45,,,
"   57P/duToit-Neujmin-Delporte-A",0.4990,1.729,2.84,188.93,115.23,5.17,2002-07-31.1,6.41,JFc,4946,1,533,,1.9e-08,-1.6e-10,-7.5e-10,,3.452,,,
"   58P/Jackson-Neujmin",0.6626,1.377,13.11,159.08,200.44,6.79,2020-05-27.4,8.25,JFc,229,4,141,,,,,,4.083,,,
"   59P/Kearns-Kwee",0.4764,2.352,9.34,312.86,127.75,6.63,2009-03-09.6,9.52,JFc,3925,0,1270,,,,,,4.491,,,
"   60P/Tsuchinshan 2",0.5385,1.620,3.61,267.66,216.49,5.40,2012-05-13.8,6.58,JFc,5009,0,1406,,,,,,3.51,,,
"   61P/Shajn-Schaldach",0.4255,2.114,6.01,163.02,221.92,5.25,2015-10-02.1,7.06,JFc,5374,0,2258,,3.2e-09,-2.3e-09,-5.9e-09,-116,3.68,,,
"   62P/Tsuchinshan 1",0.5974,1.384,9.71,90.31,30.23,5.49,2011-06-30.3,6.37,JFc,6953,1,1498,,6.7e-09,-5.3e-10,-1.1e-09,,3.437,,,
"   63P/Wild 1",0.6509,1.951,19.78,358.00,169.03,9.22,2013-04-10.8,13.2,JFc,19491,0,1948,,3.0e-09,-1.1e-09,,,5.588,,,
"   64P/Swift-Gehrels",0.6873,1.393,8.95,300.00,97.14,7.52,2018-11-03.9,9.41,JFc,6707,0,3436,,,5.1e-10,,,4.456,,,
"   65P/Gunn",0.2500,2.910,9.19,62.02,213.55,4.85,2017-10-16.8,7.64,JFc,3519,1,2067,,-5.7e-08,-1.8e-08,1.4e-08,,3.88,,,
"   66P/du Toit",0.7866,1.285,18.67,22.00,257.34,10.76,2018-05-20.4,14.8,JFc,16304,0,547,,7.7e-10,-8.9e-11,,,6.023,,,
"   67P/Churyumov-Gerasimenko",0.6409,1.243,7.04,50.14,12.80,5.68,2015-08-13.0,6.44,JFc,5442,0,8608,,1.0e-09,-6.7e-11,3.0e-10,45.7,3.462,,,
"   68P/Klemola",0.6403,1.762,11.18,175.30,153.84,8.04,2019-11-11.8,10.8,JFc,4656,0,1680,,,,,,4.899,,,
"   69P/Taylor",0.4136,2.280,22.04,104.85,343.67,5.50,2019-03-18.4,7.67,JFc,2686,1,46,,,,,,3.889,,,
"   70P/Kojima",0.4540,2.007,6.60,119.27,1.96,5.34,2014-10-20.6,7.04,JFc,18799,0,2078,,2.0e-10,-7.5e-11,,,3.675,,,
"   71P/Clark",0.4945,1.587,9.45,59.44,208.95,4.69,2017-06-30.2,5.56,JFc,2783,1,1240,,2.3e-08,2.5e-10,1.5e-09,30,3.139,,,
"   72P/Denning-Fujikawa",0.8194,0.784,9.17,36.04,337.93,7.90,2014-07-11.6,9.04,JFc,16324,1,63,,,1.8e-10,,,4.34,,,
"   73P/Schwassmann-Wachmann 3",0.6855,0.972,11.24,69.66,199.39,5.21,2017-03-16.8,5.44,JFc,2740,3,515,,4.8e-09,6.9e-10,,,3.091,,,
"   73P/Schwassmann-Wachmann 3-A",0.6957,0.933,11.42,69.94,198.83,5.20,1995-09-22.9,5.37,JFc,58,7,62,,,,,,3.067,,,
"   73P/Schwassmann-Wachmann 3-B",0.6933,0.939,11.40,69.89,198.80,5.18,2006-06-07.9,5.36,JFc,3806,2,1484,,1.5e-08,2.0e-09,,,3.062,,,
"   73P/Schwassmann-Wachmann 3-C",0.6922,0.943,11.38,69.84,198.87,5.18,2011-10-16.8,5.36,JFc,5853,0,3223,,6.5e-09,4.8e-10,,-12.2,3.063,,,
"   73P/Schwassmann-Wachmann 3-E",0.6939,0.937,11.41,69.92,198.77,5.19,2001-01-28.4,5.36,JFc,4021,0,129,,1.7e-08,5.8e-09,,,3.062,,,
"   73P/Schwassmann-Wachmann 3-G",0.6934,0.939,11.39,69.91,198.77,5.19,2006-06-08.0,5.36,JFc,72,5,551,,,,,,3.063,,,
"   73P/Schwassmann-Wachmann 3-H",0.6936,0.939,11.39,69.91,198.77,5.19,2006-06-08.2,5.37,JFc,68,5,112,,,,,,3.065,,,
"   73P/Schwassmann-Wachmann 3-J",0.6915,0.939,11.38,69.83,198.87,5.15,2006-06-08.1,5.31,JFc,28,7,42,,,,,,3.044,,,
"   73P/Schwassmann-Wachmann 3-K",0.6935,0.939,11.39,69.90,198.79,5.19,2006-06-08.2,5.36,JFc,47,6,42,,,,,,3.064,,,
"   73P/Schwassmann-Wachmann 3-L",0.6947,0.939,11.40,69.94,198.75,5.21,2006-06-08.3,5.4,JFc,58,6,39,,,,,,3.076,,,
"   73P/Schwassmann-Wachmann 3-M",0.6939,0.939,11.39,69.91,198.78,5.20,2006-06-08.2,5.37,JFc,44,7,73,,,,,,3.068,,,
"   73P/Schwassmann-Wachmann 3-N",0.6923,0.939,11.38,69.90,198.76,5.17,2006-06-08.2,5.33,JFc,41,6,133,,,,,,3.052,,,
"   73P/Schwassmann-Wachmann 3-P",0.6956,0.939,11.41,69.96,198.72,5.23,2006-06-07.8,5.42,JFc,29,7,55,,,,,,3.085,,,
"   73P/Schwassmann-Wachmann 3-Q",0.6986,0.940,11.42,70.14,198.50,5.30,2006-06-07.6,5.51,JFc,17,9,37,,,,,,3.118,,,
"   73P/Schwassmann-Wachmann 3-R",0.6941,0.939,11.39,69.91,198.77,5.20,2006-06-08.1,5.38,JFc,39,6,280,,,,,,3.07,,,
"   73P/Schwassmann-Wachmann 3-S",0.6934,1.022,11.05,81.99,181.56,5.65,2006-06-08.7,6.09,JFc,1,9,11,,,,,,3.334,,,
"   73P/Schwassmann-Wachmann 3-T",0.6930,0.940,11.40,69.89,198.81,5.18,2006-06-08.8,5.35,JFc,4087,1,44,,,,,,3.061,,,
"   73P/Schwassmann-Wachmann 3-U",0.6894,0.939,11.36,69.83,198.84,5.11,2006-06-09.0,5.26,JFc,16,8,21,,,,,,3.024,,,
"   73P/Schwassmann-Wachmann 3-V",0.6935,0.920,11.57,66.63,203.11,5.08,2006-06-08.6,5.2,JFc,10,9,11,,,,,,3.002,,,
"   73P/Schwassmann-Wachmann 3-W",0.6983,0.939,11.42,70.04,198.63,5.29,2006-06-08.4,5.49,JFc,29,8,15,,,,,,3.112,,,
"   73P/Schwassmann-Wachmann 3-X",0.6954,0.939,11.40,69.94,198.74,5.23,2006-06-08.5,5.41,JFc,36,6,38,,,,,,3.083,,,
"   73P/Schwassmann-Wachmann 3-Y",0.7181,0.939,11.55,70.63,198.01,5.72,2006-06-08.6,6.08,JFc,34,8,15,,,,,,3.332,,,
"   73P/Schwassmann-Wachmann 3-Z",0.6934,0.942,11.34,70.58,197.91,5.20,2006-06-08.3,5.39,JFc,6,9,16,,,,,,3.073,,,
"   73P/Schwassmann-Wachmann 3-AA",0.6806,0.939,11.30,69.57,199.11,4.94,2006-06-09.1,5.04,JFc,19,8,36,,,,,,2.941,,,
"   73P/Schwassmann-Wachmann 3-AB",0.6912,0.939,11.37,69.86,198.82,5.14,2006-06-08.7,5.31,JFc,31,7,35,,,,,,3.042,,,
"   73P/Schwassmann-Wachmann 3-AC",0.6954,0.939,11.41,69.93,198.75,5.23,2006-06-08.6,5.41,JFc,30,7,45,,,,,,3.083,,,
"   73P/Schwassmann-Wachmann 3-AD",0.6934,0.941,11.37,70.22,198.37,5.19,2006-06-08.6,5.37,JFc,6,9,11,,,,,,3.068,,,
"   73P/Schwassmann-Wachmann 3-AE",0.6967,0.939,11.41,69.97,198.71,5.25,2006-06-08.3,5.45,JFc,20,8,43,,,,,,3.096,,,
"   73P/Schwassmann-Wachmann 3-AF",0.6763,0.941,11.24,69.85,198.72,4.87,2006-06-07.0,4.96,JFc,7,9,25,,,,,,2.908,,,
"   73P/Schwassmann-Wachmann 3-AG",0.6958,0.939,11.41,69.96,198.71,5.23,2006-06-08.9,5.42,JFc,24,7,79,,,,,,3.087,,,
"   73P/Schwassmann-Wachmann 3-AH",0.6934,0.943,11.33,70.71,197.74,5.21,2006-06-08.6,5.39,JFc,3,9,19,,,,,,3.075,,,
"   73P/Schwassmann-Wachmann 3-AI",0.6982,0.939,11.43,69.97,198.73,5.28,2006-06-08.7,5.49,JFc,31,8,17,,,,,,3.111,,,
"   73P/Schwassmann-Wachmann 3-AJ",0.6624,0.941,11.14,69.39,199.21,4.63,2006-06-08.9,4.65,JFc,19,9,19,,,-1.2e-06,,,2.786,,,
"   73P/Schwassmann-Wachmann 3-AK",0.6934,0.938,11.43,69.38,199.33,5.18,2006-06-08.3,5.35,JFc,11,9,12,,,,,,3.058,,,
"   73P/Schwassmann-Wachmann 3-AL",0.6998,0.939,11.44,69.98,198.72,5.32,2006-06-08.4,5.53,JFc,14,9,15,,,,,,3.128,,,
"   73P/Schwassmann-Wachmann 3-AM",0.6934,0.931,11.54,68.12,201.09,5.14,2006-06-08.2,5.29,JFc,2,9,12,,,,,,3.036,,,
"   73P/Schwassmann-Wachmann 3-AN",0.6948,0.939,11.41,69.89,198.80,5.21,2006-06-08.3,5.4,JFc,18,8,43,,,,,,3.076,,,
"   73P/Schwassmann-Wachmann 3-AO",0.6938,0.941,11.33,70.39,198.17,5.20,2006-06-07.8,5.38,JFc,2,9,19,,,,,,3.072,,,
"   73P/Schwassmann-Wachmann 3-AP",0.7014,0.939,11.47,69.97,198.74,5.35,2006-06-06.6,5.58,JFc,15,8,95,,,,,,3.144,,,
"   73P/Schwassmann-Wachmann 3-AQ",0.6959,0.939,11.41,69.92,198.77,5.24,2006-06-07.9,5.43,JFc,27,7,185,,,,,,3.088,,,
"   73P/Schwassmann-Wachmann 3-AR",0.6958,0.939,11.41,69.97,198.71,5.24,2006-06-06.8,5.43,JFc,14,9,15,,,,,,3.087,,,
"   73P/Schwassmann-Wachmann 3-AS",0.7011,0.939,11.46,69.98,198.72,5.34,2006-06-06.2,5.57,JFc,12,8,36,,,,,,3.141,,,
"   73P/Schwassmann-Wachmann 3-AT",0.6869,0.940,11.33,69.85,198.81,5.06,2006-06-06.2,5.2,JFc,21,8,25,,,,,,3.001,,,
"   73P/Schwassmann-Wachmann 3-AU",0.6928,0.939,11.38,69.91,198.76,5.18,2006-06-08.0,5.35,JFc,30,8,12,,,,,,3.058,,,
"   73P/Schwassmann-Wachmann 3-AV",0.6934,0.939,11.40,69.87,198.86,5.19,2006-06-06.4,5.36,JFc,19,8,9,,,,,,3.062,,,
"   73P/Schwassmann-Wachmann 3-AW",0.6482,0.942,10.98,69.48,199.09,4.41,2006-06-08.1,4.38,ETc,7,9,29,,,,,,2.678,,,
"   73P/Schwassmann-Wachmann 3-AX",0.6925,0.938,11.43,69.47,199.25,5.16,2006-06-09.4,5.33,JFc,2,9,16,,,,,,3.05,,,
"   73P/Schwassmann-Wachmann 3-AY",0.6640,0.941,11.13,69.59,199.02,4.66,2006-06-08.9,4.69,JFc,7,9,27,,,,,,2.8,,,
"   73P/Schwassmann-Wachmann 3-AZ",0.6441,0.942,10.93,69.50,199.04,4.35,2006-06-07.0,4.31,ETc,7,9,11,,,,,,2.647,,,
"   73P/Schwassmann-Wachmann 3-BA",0.6824,0.940,11.27,69.92,198.69,4.98,2006-06-06.5,5.09,JFc,7,9,14,,,,,,2.961,,,
"   73P/Schwassmann-Wachmann 3-BB",0.6824,0.942,11.19,70.47,197.93,4.99,2006-06-07.0,5.11,JFc,2,9,15,,,,,,2.968,,,
"   73P/Schwassmann-Wachmann 3-BC",0.7005,0.939,11.46,69.96,198.75,5.33,2006-06-06.6,5.55,JFc,11,8,63,,,,,,3.134,,,
"   73P/Schwassmann-Wachmann 3-BD",0.6824,0.946,10.97,71.42,196.46,5.01,2006-06-06.1,5.14,JFc,6,9,8,,,,,,2.979,,,
"   73P/Schwassmann-Wachmann 3-BE",0.6824,0.939,11.32,69.69,199.00,4.98,2006-06-06.9,5.09,JFc,5,9,16,,,,,,2.958,,,
"   73P/Schwassmann-Wachmann 3-BF",0.6857,0.940,11.32,69.83,198.81,5.04,2006-06-07.0,5.17,JFc,11,8,13,,,,,,2.989,,,
"   73P/Schwassmann-Wachmann 3-BG",0.6848,0.939,11.32,69.72,198.95,5.02,2006-06-08.8,5.14,JFc,7,9,11,,,,,,2.98,,,
"   73P/Schwassmann-Wachmann 3-BH",0.6824,0.940,11.29,69.80,198.84,4.98,2006-06-08.6,5.09,JFc,6,9,9,,,,,,2.959,,,
"   73P/Schwassmann-Wachmann 3-BI",0.6825,0.940,11.30,69.75,198.91,4.98,2006-06-08.7,5.09,JFc,7,9,23,,,,,,2.96,,,
"   73P/Schwassmann-Wachmann 3-BJ",0.6911,0.939,11.37,69.88,198.80,5.14,2006-06-08.6,5.3,JFc,8,9,13,,,,,,3.041,,,
"   73P/Schwassmann-Wachmann 3-BK",0.6915,0.939,11.37,69.90,198.78,5.15,2006-06-08.8,5.31,JFc,11,9,14,,,,,,3.045,,,
"   73P/Schwassmann-Wachmann 3-BL",0.6962,0.939,11.41,69.97,198.70,5.24,2006-06-08.8,5.44,JFc,6,9,9,,,,,,3.091,,,
"   73P/Schwassmann-Wachmann 3-BM",0.6824,0.940,11.29,69.78,198.86,4.98,2006-06-09.0,5.09,JFc,6,9,13,,,,,,2.959,,,
"   73P/Schwassmann-Wachmann 3-BN",0.6918,0.939,11.38,69.88,198.79,5.15,2006-06-08.2,5.32,JFc,6,9,31,,,,,,3.047,,,
"   73P/Schwassmann-Wachmann 3-BO",0.6918,0.939,11.38,69.89,198.77,5.16,2006-06-08.2,5.32,JFc,21,7,28,,,,,,3.048,,,
"   73P/Schwassmann-Wachmann 3-BP",0.6825,0.940,11.29,69.81,198.85,4.98,2006-06-08.3,5.09,JFc,8,9,32,,,,,,2.96,,,
"   73P/Schwassmann-Wachmann 3-BQ",0.6925,0.939,11.39,69.87,198.82,5.17,2006-06-08.3,5.34,JFc,7,9,25,,,,,,3.054,,,
"   73P/Schwassmann-Wachmann 3-BR",0.6852,0.940,11.32,69.83,198.84,5.03,2006-06-06.2,5.16,JFc,28,8,20,,,,,,2.984,,,
"   73P/Schwassmann-Wachmann 3-BS",0.6986,0.939,11.44,69.94,198.77,5.29,2006-06-05.7,5.5,JFc,12,9,12,,,,,,3.115,,,
"   73P/Schwassmann-Wachmann 3-BT",0.6856,0.972,11.24,69.66,199.35,5.21,2017-03-16.8,5.44,JFc,250,6,353,,-1.1e-07,3.1e-08,,,3.092,,,
"   73P/Schwassmann-Wachmann 3-BU",0.6677,0.960,11.05,70.74,199.85,4.82,2022-08-24.8,4.91,JFc,7,9,15,,,,,,2.888,,,
"   73P/Schwassmann-Wachmann 3-BV",0.6892,0.974,11.24,69.52,199.39,5.29,2022-08-24.9,5.55,JFc,22,8,15,,,,,,3.134,,,
"   73P/Schwassmann-Wachmann 3-BW",0.7778,1.001,11.61,67.33,198.68,8.00,2022-08-25.4,9.55,JFc,4,9,12,,,,,,4.502,,,
"   73P/Schwassmann-Wachmann 3-BX",0.6873,0.974,11.26,69.49,199.38,5.26,2022-08-25.3,5.5,JFc,10,8,38,,,,,,3.116,,,
"   73P/Schwassmann-Wachmann 3-BY",0.6799,0.971,11.20,69.77,199.46,5.10,2022-08-24.2,5.28,JFc,5,9,25,,,,,,3.034,,,
"   74P/Smirnova-Chernykh",0.1477,3.550,6.65,77.08,86.59,4.78,2009-07-26.7,8.5,ETc,9562,0,5872,,2.1e-07,-9.8e-08,,,4.166,,,
"   75D/Kohoutek",0.4963,1.785,5.91,269.69,175.80,5.30,1994-06-29.8,6.67,JFc,4784,,81,,4.0e-08,8.7e-09,,,3.543,,,
"   76P/West-Kohoutek-Ikemura",0.5384,1.602,30.48,84.11,0.05,5.34,2013-05-08.0,6.47,JFc,9743,0,1156,,4.3e-10,-1.7e-10,,,3.471,,,
"   77P/Longmore",0.3542,2.333,24.34,14.89,196.96,4.89,2016-05-14.5,6.87,JFc,17574,0,2580,,3.3e-10,-4.9e-10,7.5e-10,,3.612,,,
"   78P/Gehrels 2",0.4616,2.012,6.25,210.56,192.76,5.46,2012-01-12.1,7.22,JFc,3634,0,5573,,-1.5e-09,3.6e-10,,,3.736,,,
"   79P/du Toit-Hartley",0.5941,1.231,2.89,307.84,253.27,4.83,2008-05-28.4,5.28,JFc,9595,1,215,,-4.0e-10,-6.7e-13,,,3.031,,,
"   79P/du Toit-Hartley-A",0.6023,1.195,2.94,309.38,251.57,4.81,1982-03-30.4,5.21,JFc,138,6,28,,,,,,3.004,,,
"   79P/du Toit-Hartley-B",0.5996,1.194,2.94,309.31,251.72,4.77,1982-03-30.9,5.15,JFc,23,9,17,,,,,,2.981,,,
"   80P/Peters-Hartley",0.5994,1.612,29.93,259.85,339.16,6.44,2014-11-10.2,8.07,JFc,14997,0,174,,1.0e-08,-7.9e-10,-5.5e-10,,4.023,,,
"   81P/Wild 2",0.5375,1.596,3.24,136.11,41.73,5.30,2022-12-15.7,6.41,JFc,3253,0,2706,,2.7e-09,3.2e-10,-1.1e-09,-126,3.45,,,
"   82P/Gehrels 3",0.1233,3.626,1.13,239.59,227.50,4.65,2001-08-30.2,8.41,ETc,16277,0,143,,,2.9e-11,,,4.135,,,
"   83D/Russell 1",0.5172,1.612,22.66,230.84,0.38,5.06,1985-07-05.2,6.1,JFc,2302,1,20,,,,,,3.338,,,
"   84P/Giclas",0.4945,1.840,7.28,112.39,276.40,5.44,2013-07-23.0,6.95,JFc,15537,0,1745,,5.7e-10,-2.3e-11,,,3.641,,,
"   85D/Boethin",0.7812,1.135,4.30,359.40,37.62,9.24,2008-12-12.7,11.8,JFc,4042,8,51,,0.0e+00,0.0e+00,,,5.185,,,
"   86P/Wild 3",0.3722,2.264,15.47,72.39,179.19,4.95,2015-04-03.4,6.85,JFc,5193,1,32,,,,,,3.605,,,
