"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2018 MH)",1.441,0.2683,9.22,130.03,144.24,1.054,1.83,1.73,105,5,94,,,23.92
"       (2018 MW4)",2.778,0.5531,25.30,254.65,66.76,1.242,4.32,4.63,28,6,18,,,20.50
"       (2018 MX4)",2.318,0.5604,0.84,100.09,189.59,1.019,3.62,3.53,10,8,30,,,26.70
"       (2018 MY4)",1.534,0.2888,27.69,257.95,53.72,1.091,1.98,1.9,26,7,36,,,22.70
"       (2018 MB5)",2.1,0.4436,6.52,107.79,133.17,1.168,3.03,3.04,2,9,12,,,24.30
"       (2018 MF5)",1.497,0.2847,25.30,273.87,21.80,1.071,1.92,1.83,30,7,31,,,23.20
"       (2018 MG5)",2.24,0.5247,8.16,258.53,25.35,1.065,3.42,3.35,9,8,42,,,24.90
"       (2018 MJ5)",2.045,0.4980,7.48,261.62,23.60,1.027,3.06,2.93,4,8,20,,,26.80
"       (2018 MK5)",2.267,0.5498,15.04,293.06,265.65,1.021,3.51,3.41,26,6,14,,,21.60
"       (2018 MO5)",1.775,0.3237,17.71,86.12,193.71,1.201,2.35,2.37,80,6,34,,,21.20
"       (2018 MQ5)",1.077,0.0226,6.33,264.82,70.27,1.052,1.10,1.12,154,3,65,,,24.10
"       (2018 MQ6)",1.756,0.3680,12.14,122.65,210.89,1.110,2.40,2.33,146,4,28,,,21.20
"       (2018 MR6)",2.189,0.4409,8.63,153.94,178.78,1.224,3.15,3.24,31,6,32,,,21.20
"       (2018 MS6)",2.114,0.3892,8.29,267.58,19.37,1.291,2.94,3.07,3190,0,143,,,20.70
"       (2018 MT6)",1.839,0.4371,2.11,96.22,156.79,1.035,2.64,2.49,21,8,32,,,26.18
"       (2018 MX6)",1.973,0.4783,4.11,258.38,2.47,1.029,2.92,2.77,26,7,79,,,24.80
"       (2018 ME7)",2.16,0.4387,6.99,223.09,71.66,1.212,3.11,3.18,88,5,45,,,22.50
"       (2018 ML8)",2.132,0.4732,8.58,292.39,356.31,1.123,3.14,3.11,107,5,63,,,21.90
"       (2018 MM8)",2.673,0.5688,19.55,159.11,150.64,1.153,4.19,4.37,1406,1,380,,,19.16
"       (2018 NB)",2.389,0.5546,0.93,131.31,186.70,1.064,3.71,3.69,5676,1,642,1,0,19.30
"       (2018 NN)",1.858,0.3143,10.07,297.63,344.54,1.274,2.44,2.53,3492,0,153,,,20.33
"       (2018 NR)",1.802,0.4310,18.49,242.52,99.49,1.025,2.58,2.42,178,4,104,,,21.89
"       (2018 NY)",2.104,0.5076,6.84,285.23,353.91,1.036,3.17,3.05,11,8,18,,,26.50
"       (2018 NJ1)",2.638,0.5278,10.18,114.42,165.20,1.246,4.03,4.28,16,8,20,,,23.10
"       (2018 NO1)",2.962,0.5823,12.42,296.42,18.28,1.237,4.69,5.1,74,5,74,,,22.18
"       (2018 NS1)",2.16,0.4753,7.22,136.86,221.85,1.133,3.19,3.17,170,4,61,,,22.10
"       (2018 NT1)",2.149,0.4860,9.69,130.11,143.63,1.104,3.19,3.15,60,6,40,,,21.95
"       (2018 NU1)",2.245,0.4908,11.84,123.21,171.32,1.143,3.35,3.36,89,5,39,,,21.40
"       (2018 NV1)",2.163,0.5056,9.35,293.01,352.97,1.069,3.26,3.18,25,8,22,,,25.00
