"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2019 YG2)",0.8621,0.2142,16.06,93.21,174.78,0.677,1.05,0.8,13,6,38,,,25.30
"       (2019 YA3)",0.9395,0.2680,1.53,257.57,62.32,0.688,1.19,0.911,17,5,18,,,26.42
"       (2019 YA4)",0.9231,0.4703,2.82,119.70,206.64,0.489,1.36,0.887,3347,0,163,,,23.40
"       (2019 YB4)",0.994,0.1925,0.54,324.42,236.70,0.803,1.19,0.991,4,6,37,,,26.80
"       (2019 YL4)",0.9714,0.1697,8.10,107.71,176.47,0.807,1.14,0.957,776,2,52,,,24.40
"       (2019 YP5)",0.9765,0.3842,10.36,318.17,298.98,0.601,1.35,0.965,406,1,109,,,22.45
"       (2019 YL6)",0.9327,0.0957,7.64,268.20,347.32,0.843,1.02,0.901,20,6,16,,,25.30
"       (2020 AC)",0.954,0.1108,9.38,280.04,295.75,0.848,1.06,0.932,3,4,93,,,26.70
"       (2020 AE)",0.9429,0.2360,2.18,67.05,159.57,0.720,1.17,0.916,12,5,59,,,25.70
"       (2020 AT)",0.986,0.2459,14.66,102.79,244.67,0.744,1.23,0.979,12,7,86,,,25.20
"       (2020 AW)",0.8082,0.2340,0.36,321.20,315.72,0.619,1.00,0.727,3,7,24,,,28.73
"       (2020 AC1)",0.8605,0.2198,5.99,282.42,38.23,0.671,1.05,0.798,10,6,70,,,28.40
"       (2020 AY1)",0.8814,0.2223,1.02,31.80,294.87,0.685,1.08,0.827,45,4,129,,,25.20
"       (2020 AZ1)",0.916,0.0964,6.29,289.18,348.43,0.828,1.00,0.877,13,7,30,,,26.60
"       (2020 AB2)",0.8043,0.3263,2.61,102.62,155.83,0.542,1.07,0.721,7,7,27,,,27.00
"       (2020 AO2)",0.9169,0.4602,18.09,301.41,300.02,0.495,1.34,0.878,3,9,28,,,23.20
"       (2020 AD3)",0.9827,0.5948,2.64,268.43,73.83,0.398,1.57,0.974,1132,1,237,,,21.60
"       (2020 AE3)",0.8201,0.2893,28.10,108.51,214.09,0.583,1.06,0.743,1110,1,45,,,23.30
"       (2020 AH3)",0.9471,0.0685,27.67,109.99,208.16,0.882,1.01,0.922,3,7,44,,,24.30
"       (2020 AK3)",0.9886,0.1401,10.92,301.94,283.20,0.850,1.13,0.983,14,6,49,,,26.10
"       (2020 AL3)",0.9805,0.3939,8.48,114.12,115.43,0.594,1.37,0.971,4,7,52,,,26.20
"       (2020 AP3)",0.9009,0.1872,2.35,76.97,255.78,0.732,1.07,0.855,11,7,19,,,26.60
"       (2020 AQ24)",0.9933,0.0397,31.93,293.73,288.06,0.954,1.03,0.99,5,8,35,,,24.98
"       (2020 BE)",0.9372,0.1155,47.66,119.15,176.15,0.829,1.05,0.907,15,8,170,,,21.95
"       (2020 BW)",0.9311,0.3278,3.38,10.23,249.25,0.626,1.24,0.898,19,4,42,,,24.30
"       (2020 BZ)",0.9477,0.2723,14.90,300.57,58.34,0.690,1.21,0.923,5,6,23,,,27.10
"       (2020 BF1)",0.962,0.1325,1.37,342.30,247.39,0.835,1.09,0.944,5,5,21,,,26.20
"       (2020 BK1)",0.7811,0.5680,21.08,116.08,178.06,0.337,1.22,0.69,739,2,42,,,22.90
"       (2020 BM1)",0.868,0.3288,15.42,304.55,27.88,0.583,1.15,0.809,2,6,20,,,25.60
"       (2020 BT2)",0.7236,0.4202,4.09,168.47,133.24,0.420,1.03,0.615,16,8,34,,,23.67
"       (2020 BT3)",0.8309,0.2868,13.98,298.89,8.21,0.593,1.07,0.757,5,8,28,,,25.56
"       (2020 BZ4)",0.9454,0.2810,6.07,124.89,121.26,0.680,1.21,0.919,7,5,24,,,27.60
"       (2020 BF5)",0.9798,0.2599,7.27,130.40,130.74,0.725,1.23,0.97,23,5,45,,,25.00
"       (2020 BN7)",0.9524,0.1241,8.24,97.84,197.98,0.834,1.07,0.93,42,4,29,,,23.80
"       (2020 BF8)",0.9617,0.0996,7.56,124.97,230.86,0.866,1.06,0.943,3,5,19,,,28.30
"       (2020 BJ8)",0.8691,0.2041,29.31,124.42,194.10,0.692,1.05,0.81,6,7,34,,,24.10
"       (2020 BO8)",0.9543,0.2688,30.16,311.42,322.44,0.698,1.21,0.932,30,6,42,,,23.70
"       (2020 BP8)",0.8549,0.5771,10.42,120.72,224.34,0.362,1.35,0.79,2,8,28,,,25.50
"       (2020 BV9)",0.9913,0.2530,3.33,300.44,317.97,0.741,1.24,0.987,766,2,42,,,26.10
"       (2020 BN10)",0.9277,0.3443,20.53,185.76,68.98,0.608,1.25,0.894,3750,2,57,,,20.99
"       (2020 BL11)",0.9893,0.0089,5.91,308.01,289.62,0.981,1.00,0.984,7,3,25,,,27.80
"       (2020 BP11)",0.7369,0.3760,7.35,304.37,3.80,0.460,1.01,0.633,6,8,18,,,26.80
"       (2020 BQ12)",0.9084,0.2101,8.76,313.41,307.47,0.718,1.10,0.866,16,6,39,,,24.50
"       (2020 BW12)",0.9908,0.0420,18.76,124.20,251.03,0.949,1.03,0.986,4,6,35,,,26.10
"       (2020 BW13)",0.9461,0.0946,0.48,298.14,349.08,0.857,1.04,0.92,28,6,42,,,27.40
"       (2020 BX15)",0.7659,0.4498,24.00,334.95,339.08,0.421,1.11,0.67,748,4,33,,,21.25
"       (2020 CA)",0.8818,0.4394,1.22,136.49,125.69,0.494,1.27,0.828,,6,13,,,29.60
"       (2020 CB)",0.9927,0.2852,3.70,134.21,248.15,0.710,1.28,0.989,2,6,25,,,27.70
"       (2020 CG)",0.9382,0.2592,4.33,128.23,240.79,0.695,1.18,0.909,20,6,35,,,25.16
"       (2020 CD1)",0.9322,0.2511,29.04,132.17,238.39,0.698,1.17,0.9,1,8,16,,,26.10
"       (2020 CH1)",0.9059,0.2254,11.43,319.94,43.34,0.702,1.11,0.862,22,6,41,,,25.50
"       (2020 CL1)",0.7245,0.3919,45.48,325.89,9.72,0.441,1.01,0.617,1162,1,134,,,19.95
"       (2020 CB2)",0.8556,0.2807,27.14,1.01,50.17,0.615,1.10,0.791,3,9,13,,,20.20
"       (2020 CQ2)",0.9527,0.2532,5.03,144.53,247.48,0.711,1.19,0.93,3,4,88,,,28.60
"       (2020 CE3)",0.98,0.5131,16.42,122.29,250.55,0.477,1.48,0.97,1,9,10,,,24.50
