"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"127846 (2003 FO111)",5.246,0.0470,6.20,276.47,102.25,5.000,5.49,12,9674,0,729,,,12.55
"128299 (2003 YL61)",5.286,0.0688,21.79,104.67,157.38,4.923,5.65,12.2,8709,0,1459,,,11.61
"128301 (2003 YZ139)",5.142,0.0546,26.08,84.48,212.40,4.861,5.42,11.7,7978,0,869,,,12.20
"128383 (2004 JW52)",5.17,0.0286,9.71,207.71,95.23,5.022,5.32,11.8,9615,0,421,,,13.17
"129130 (2004 YP20)",5.155,0.0733,1.49,170.00,121.31,4.777,5.53,11.7,8326,0,522,,,13.20
"129133 (2004 YZ31)",5.18,0.0431,23.21,105.99,107.54,4.956,5.40,11.8,8337,0,856,,,12.22
"129134 (2005 AC5)",5.209,0.0664,14.78,99.03,197.72,4.863,5.55,11.9,8391,0,656,,,12.26
"129135 (2005 AD21)",5.288,0.0395,33.12,120.06,200.98,5.079,5.50,12.2,7977,0,856,,,12.15
"129137 Hippolochos (2005 AP27)",5.126,0.0585,12.51,114.51,232.32,4.827,5.43,11.6,7964,0,410,,,13.10
"129140 (2005 AO50)",5.185,0.0172,9.36,171.86,110.98,5.096,5.27,11.8,8341,0,605,,,12.76
"129142 (2005 AS60)",5.23,0.0466,1.30,11.14,111.39,4.986,5.47,12,7968,0,549,,,13.12
"129144 (2005 BP25)",5.17,0.0811,27.69,138.63,191.51,4.751,5.59,11.8,8069,0,919,,,12.25
"129145 (2005 CE)",5.277,0.0488,18.41,172.63,359.33,5.019,5.54,12.1,19117,0,742,,,12.75
"129147 (2005 CY70)",5.209,0.0588,16.47,342.05,307.83,4.903,5.52,11.9,10693,0,517,,,12.55
"129153 (2005 EL140)",5.206,0.0085,26.73,164.84,190.90,5.162,5.25,11.9,10731,0,588,,,12.68
"129207 (2005 ND41)",5.322,0.0671,3.49,174.40,230.31,4.965,5.68,12.3,22785,0,742,,,13.06
"129583 (1997 SV14)",5.161,0.0890,3.96,292.41,140.30,4.702,5.62,11.7,9728,0,664,,,12.86
"129602 (1997 WA12)",5.294,0.0306,16.61,225.41,80.04,5.132,5.46,12.2,9214,0,998,,,12.29
"130190 (2000 AG90)",5.261,0.0456,14.71,292.12,79.63,5.021,5.50,12.1,16006,0,877,,,12.08
"130588 (2000 RD83)",5.225,0.0538,31.91,356.37,10.77,4.943,5.51,11.9,8366,0,332,,,12.69
"130592 (2000 RT87)",5.273,0.0164,19.34,346.15,98.61,5.186,5.36,12.1,8363,0,483,,,12.62
"130648 (2000 SW76)",5.17,0.0642,3.93,309.28,15.02,4.838,5.50,11.8,8338,0,461,,,13.12
"130687 (2000 SZ131)",5.217,0.0948,19.04,286.40,69.51,4.723,5.71,11.9,8359,0,518,,,12.49
"131447 (2001 QZ113)",5.229,0.0411,33.82,33.22,316.20,5.014,5.44,12,8031,0,858,,,11.95
"131451 (2001 QD174)",5.1,0.0787,27.26,8.53,335.57,4.699,5.50,11.5,14366,0,539,,,12.63
"131460 (2001 QE194)",5.112,0.0627,27.76,340.59,1.93,4.791,5.43,11.6,8367,0,390,,,12.67
"131539 (2001 US133)",5.194,0.0919,1.58,229.27,120.97,4.717,5.67,11.8,7989,0,442,,,13.31
"131546 (2001 VJ3)",5.26,0.0384,4.29,21.61,270.83,5.058,5.46,12.1,10048,0,253,,,13.60
"131581 (2001 VG121)",5.217,0.0499,2.84,281.32,30.17,4.956,5.48,11.9,8341,0,363,,,13.23
"131635 (2001 XW71)",5.322,0.0667,3.65,74.60,294.33,4.967,5.68,12.3,8334,0,567,,,12.96
"133566 (2003 UZ27)",5.295,0.0265,26.54,287.50,354.57,5.155,5.44,12.2,11513,0,608,,,12.37
"133853 (2003 YQ133)",5.234,0.0806,15.83,331.89,1.49,4.812,5.66,12,8712,0,462,,,12.58
"133862 (2004 BR38)",5.215,0.0095,31.08,109.96,246.23,5.165,5.26,11.9,7720,0,603,,,12.48
"134077 (2004 XW71)",5.186,0.0982,18.13,105.83,164.62,4.677,5.70,11.8,8341,0,578,,,12.60
"134251 (2006 AN34)",5.131,0.0902,26.36,148.63,157.58,4.668,5.59,11.6,10701,0,937,,,12.25
"134269 (2006 BP114)",5.196,0.0455,2.62,173.99,39.05,4.960,5.43,11.8,10419,0,486,,,13.22
"134329 Cycnos (2377 T-3)",5.179,0.0823,17.39,17.57,279.81,4.753,5.61,11.8,16416,0,644,,,12.54
"134419 Hippothous (1998 MV47)",5.24,0.1782,8.39,122.24,133.70,4.306,6.17,12,10807,0,1008,,,12.47
"134720 (2000 AX29)",5.236,0.0874,27.55,300.85,56.09,4.779,5.69,12,12835,0,1532,,,11.76
"134749 (2000 BT24)",5.285,0.0956,20.47,336.75,36.19,4.780,5.79,12.2,8388,0,1168,,,11.98
"134767 (2000 CS113)",5.326,0.0450,10.07,118.80,309.66,5.087,5.57,12.3,9175,0,581,,,12.73
"134957 (2001 DN18)",5.274,0.0499,10.99,47.77,60.40,5.011,5.54,12.1,8499,0,908,,,12.15
"134965 (2001 DQ99)",5.151,0.0346,27.49,304.78,133.05,4.973,5.33,11.7,12862,0,877,,,12.19
"135540 (2002 CC245)",5.129,0.0548,12.63,212.37,181.09,4.848,5.41,11.6,10854,0,811,,,12.68
"135547 (2002 EN14)",5.258,0.0608,21.65,4.07,9.06,4.938,5.58,12.1,9607,0,808,,,12.35
"135593 (2002 GW125)",5.213,0.0541,3.45,240.13,185.90,4.931,5.49,11.9,9217,0,482,,,13.13
"135594 (2002 GK147)",5.27,0.0548,9.68,146.98,258.13,4.981,5.56,12.1,16726,0,706,,,12.67
"136557 Neleus (5214 T-2)",5.221,0.0644,9.96,277.80,163.23,4.885,5.56,11.9,18023,0,628,,,12.75
"137879 (2000 AJ114)",5.274,0.0709,12.36,268.38,199.83,4.900,5.65,12.1,10508,0,978,,,12.17
"137954 (2000 CK13)",5.201,0.0448,5.70,144.12,264.27,4.967,5.43,11.9,8424,0,673,,,12.79
"138031 (2000 DK9)",5.284,0.0379,2.95,157.99,298.83,5.083,5.48,12.1,8476,0,483,,,13.46
"138981 (2001 CE47)",5.141,0.0674,8.73,146.02,286.02,4.795,5.49,11.7,8083,0,606,,,12.97
"139009 (2001 DH42)",5.272,0.0142,5.45,169.06,259.49,5.197,5.35,12.1,7997,0,908,,,12.51
"141523 (2002 EQ149)",5.146,0.0282,2.71,97.00,309.98,5.001,5.29,11.7,9646,0,580,,,13.05
"141577 (2002 GS149)",5.255,0.0473,3.53,356.80,44.70,5.006,5.50,12,10067,0,698,,,12.87
"141584 (2002 GU178)",5.161,0.0250,3.13,277.92,164.39,5.032,5.29,11.7,8487,0,756,,,12.83
"144840 (2004 JX35)",5.344,0.0508,4.34,251.60,73.08,5.073,5.62,12.4,10091,0,783,,,12.53
"150872 (2001 ST201)",5.183,0.0958,5.14,5.59,349.30,4.686,5.68,11.8,7942,0,319,,,13.35
"150876 (2001 SA220)",5.147,0.0768,4.14,28.87,313.55,4.751,5.54,11.7,10324,0,385,,,13.48
"151883 (2003 WQ25)",5.13,0.0447,5.53,76.47,308.13,4.900,5.36,11.6,7209,0,579,,,13.10
"151884 (2003 WO40)",5.171,0.0355,15.28,56.86,264.05,4.987,5.35,11.8,7179,0,607,,,12.71
"152297 (2005 TH49)",5.129,0.0656,13.05,133.72,166.88,4.792,5.47,11.6,7917,0,392,,,13.12
"152517 (2006 AD72)",5.203,0.0709,4.32,154.86,194.07,4.834,5.57,11.9,10426,0,294,,,13.49
"152519 (2006 CT61)",5.158,0.0571,21.15,352.56,221.28,4.863,5.45,11.7,7963,0,547,,,12.68
"153083 (2000 RH28)",5.283,0.0858,19.88,199.57,167.30,4.829,5.74,12.1,8710,0,836,,,12.28
"153107 (2000 SY55)",5.268,0.0476,11.29,192.72,175.64,5.018,5.52,12.1,8351,0,826,,,12.70
"153122 (2000 SA97)",5.206,0.0662,14.69,229.47,24.89,4.861,5.55,11.9,8363,0,880,,,12.35
"153141 (2000 SP203)",5.282,0.0713,17.21,5.20,309.44,4.905,5.66,12.1,8350,0,394,,,12.72
"153155 (2000 SO298)",5.258,0.0789,12.71,227.83,24.63,4.843,5.67,12.1,8308,0,845,,,12.52
"153464 (2001 RW6)",5.238,0.0846,9.03,21.85,300.84,4.795,5.68,12,10371,0,609,,,12.59
"153500 (2001 RN122)",5.102,0.0235,15.70,164.81,183.53,4.983,5.22,11.5,9975,0,638,,,12.85
"153708 (2001 UK76)",5.166,0.1136,9.19,65.39,230.40,4.579,5.75,11.7,8039,0,650,,,12.57
"153755 (2001 UZ199)",5.166,0.1475,2.32,249.25,100.65,4.405,5.93,11.7,16694,0,377,,,13.60
"153757 (2001 UN210)",5.216,0.1051,5.39,138.20,234.86,4.668,5.76,11.9,10039,0,315,,,13.56
"153758 (2001 UQ214)",5.263,0.0327,4.11,156.90,122.74,5.091,5.44,12.1,9975,0,491,,,12.99
"154417 (2003 BO25)",5.225,0.0789,31.20,97.19,222.07,4.813,5.64,11.9,7281,0,741,,,12.08
"154632 (2003 WT151)",5.149,0.0522,27.53,74.92,234.82,4.880,5.42,11.7,7223,0,557,,,12.58
"154989 (2005 AG4)",5.192,0.1217,8.57,341.54,227.78,4.560,5.82,11.8,8293,0,441,,,12.92
"154990 (2005 AA66)",5.229,0.0837,12.95,127.27,159.24,4.791,5.67,12,8326,0,414,,,12.88
"154992 (2005 CV68)",5.284,0.0801,9.56,143.38,163.41,4.860,5.71,12.1,10724,0,692,,,12.60
"155326 (2006 AN97)",5.198,0.0198,20.91,94.82,349.59,5.095,5.30,11.8,7973,0,501,,,12.74
"155327 (2006 AV99)",5.242,0.0540,7.91,159.00,53.02,4.959,5.53,12,7675,0,318,,,13.40
"155332 (2006 BA157)",5.292,0.1347,5.16,127.98,187.10,4.580,6.01,12.2,10102,0,379,,,13.28
