"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2013 CJ118)",10.29,0.4930,10.32,338.48,141.26,5.217,15.36,33,1220,3,35,,,14.89
"       (2013 CY133)",7.87,0.2582,17.70,148.33,61.92,5.838,9.90,22.1,2324,1,96,,,14.00
"       (2013 CE223)",21.72,0.1596,5.17,265.63,131.34,18.253,25.18,101,5106,2,70,,,8.80
"       (2013 EZ27)",19.46,0.5443,14.62,328.89,212.93,8.869,30.05,85.9,2220,2,87,,,12.60
"       (2013 GY54)",13.57,0.6589,8.29,8.76,236.78,4.629,22.51,50,530,3,67,,,14.30
"       (2013 JD4)",11.97,0.8642,72.90,226.89,295.80,1.626,22.32,41.4,32,7,110,,,16.50
"       (2013 JX14)",11.27,0.3525,10.44,245.86,273.76,7.295,15.24,37.8,4197,1,124,,,11.90
"       (2013 JC64)",22.15,0.3770,32.02,71.61,170.65,13.800,30.50,104,418,4,15,,,12.10
"       (2013 LA2)",5.694,0.4680,175.09,243.91,325.08,3.029,8.36,13.6,333,4,51,,,16.94
"       (2013 LG29)",17.05,0.7894,15.35,66.81,202.32,3.590,30.51,70.4,465,3,37,,,14.90
"       (2013 MB12)",22.75,0.3322,13.99,158.65,112.01,15.190,30.30,108,2681,3,54,,,10.20
"       (2013 NS11)",12.58,0.7851,130.47,250.55,167.46,2.704,22.46,44.6,565,2,257,,,13.60
"       (2013 NT33)",30,0.4531,20.40,57.36,10.37,16.406,43.59,164,4485,2,145,,,8.88
"       (2013 OL15)",5.558,0.4195,16.81,48.81,298.79,3.226,7.89,13.1,136,4,26,,,15.00
"       (2013 PS21)",11.01,0.8357,11.25,290.07,331.91,1.809,20.22,36.5,2,9,10,,,18.32
"       (2013 PQ37)",5.971,0.5530,30.01,183.24,176.64,2.669,9.27,14.6,85,5,39,,,15.70
"       (2013 PJ44)",12.16,0.6746,21.46,316.75,312.80,3.958,20.37,42.4,32,6,30,,,14.50
"       (2013 RN30)",14.13,0.4243,16.62,181.98,187.87,8.137,20.13,53.1,416,4,42,,,12.90
"       (2013 RA96)",19.84,0.9204,5.18,66.67,251.54,1.580,38.10,88.4,1,9,12,,,19.53
"       (2013 RG98)",23.31,0.1706,46.03,145.79,348.99,19.335,27.29,113,2992,3,109,,,9.11
"       (2013 SV99)",6.911,0.2597,17.11,149.84,223.63,5.116,8.71,18.2,16,8,18,,,16.55
"       (2013 SO107)",6.767,0.2242,25.04,9.86,19.20,5.250,8.28,17.6,419,4,23,,,14.20
"       (2013 TM56)",6.054,0.6639,17.90,5.04,303.39,2.035,10.07,14.9,1,9,11,,,17.32
"       (2013 TP145)",23.08,0.4173,29.28,327.20,69.39,13.450,32.71,111,4053,4,22,,,9.30
"       (2013 UC17)",19.43,0.1312,32.44,194.07,206.43,16.880,21.98,85.6,2654,3,25,,,11.49
"       (2013 UU17)",26.02,0.2466,8.49,27.93,250.45,19.606,32.44,133,3772,3,32,,,10.29
"       (2013 VZ70)",9.157,0.0961,12.06,215.12,245.45,8.278,10.04,27.7,2369,3,43,,,13.74
"       (2013 WK64)",7.896,0.6287,62.63,99.58,353.26,2.932,12.86,22.2,118,4,35,,,15.60
"       (2013 YF48)",9.252,0.5217,77.75,33.14,34.34,4.425,14.08,28.1,94,4,25,,,14.00
"       (2013 YG48)",8.16,0.7521,61.43,123.10,21.99,2.023,14.30,23.3,110,4,85,,,17.20
"       (2013 YK122)",7.335,0.7667,1.74,164.78,225.04,1.711,12.96,19.9,4,9,10,,,17.86
"       (2014 DW9)",7.434,0.5018,16.03,290.55,234.58,3.704,11.16,20.3,474,4,32,,,14.70
"       (2014 ES72)",5.752,0.1868,6.82,231.76,309.13,4.678,6.83,13.8,3,9,15,,,15.24
"       (2014 EK119)",6.761,0.3842,7.27,283.11,193.96,4.163,9.36,17.6,5,9,17,,,15.25
"       (2014 EB132)",5.539,0.1251,6.47,301.05,193.48,4.846,6.23,13,2,9,10,,,15.24
"       (2014 EC150)",5.703,0.1317,17.90,190.39,304.63,4.952,6.45,13.6,3,9,11,,,15.00
"       (2014 EF198)",5.952,0.2970,7.92,214.11,40.80,4.184,7.72,14.5,2,9,8,,,14.59
"       (2014 EM216)",5.535,0.1845,19.03,192.73,354.97,4.514,6.56,13,3,9,13,,,15.28
"       (2014 EY247)",6.087,0.2797,6.12,230.89,218.77,4.384,7.79,15,419,5,20,,,15.00
"       (2014 FP59)",5.967,0.3611,4.57,187.18,95.54,3.812,8.12,14.6,1,9,180,,,16.30
"       (2014 FU61)",9.172,0.4157,19.52,59.11,119.25,5.359,12.98,27.8,450,4,42,,,13.88
"       (2014 FB72)",23.73,0.3446,17.04,245.25,283.59,15.553,31.91,116,7172,1,292,,,8.60
"       (2014 GZ44)",5.796,0.5890,21.53,299.67,238.81,2.383,9.21,14,25,7,23,,,16.90
"       (2014 HV176)",7.344,0.3242,31.31,110.73,71.93,4.963,9.72,19.9,4645,1,56,,,14.00
"       (2014 HY195)",7.149,0.1031,22.91,11.80,174.84,6.411,7.89,19.1,5483,1,67,,,13.80
"       (2014 JJ57)",7.008,0.2904,95.86,289.46,311.20,4.972,9.04,18.6,2814,2,33,,,12.70
"       (2014 JP137)",5.852,0.3120,21.35,218.61,52.09,4.026,7.68,14.2,26,5,18,,,15.74
"       (2014 KG2)",6.593,0.7841,24.14,344.12,296.82,1.423,11.76,16.9,163,3,129,,,17.60
"       (2014 KV3)",5.898,0.3901,32.22,84.26,151.35,3.597,8.20,14.3,71,4,37,,,14.70
"       (2014 KL84)",16.13,0.6434,12.24,134.55,91.43,5.753,26.51,64.8,734,4,20,,,13.90
"       (2014 KM122)",6.281,0.4245,27.55,27.88,253.42,3.614,8.95,15.7,1273,3,33,,,14.00
"       (2014 LR14)",18.83,0.5269,6.25,183.74,84.41,8.907,28.75,81.7,3044,2,118,,,11.90
"       (2014 MA71)",5.641,0.5883,33.85,300.43,313.34,2.322,8.96,13.4,70,4,52,,,17.10
"       (2014 NX65)",23.09,0.2011,11.37,96.52,232.18,18.445,27.73,111,3698,2,124,,,9.60
"       (2014 ON57)",15.38,0.6881,9.65,105.54,255.14,4.796,25.96,60.3,1134,3,63,,,13.56
"       (2014 OF331)",5.604,0.7503,5.88,124.64,258.83,1.399,9.81,13.3,1,9,11,,,20.07
"       (2014 PA7)",5.642,0.4157,32.65,304.72,44.61,3.296,7.99,13.4,79,4,44,,,15.60
"       (2014 PQ70)",16.15,0.6123,15.04,343.89,10.42,6.260,26.03,64.9,1214,2,92,,,14.10
"       (2014 QZ111)",12.18,0.8652,15.85,167.32,60.37,1.641,22.72,42.5,11,9,10,,,16.07
"       (2014 QW243)",8.256,0.7596,18.14,143.11,159.30,1.985,14.53,23.7,1,9,11,,,18.79
"       (2014 QU250)",12.33,0.8670,9.09,115.27,181.39,1.640,23.02,43.3,1,9,11,,,19.29
"       (2014 RE12)",14.29,0.6450,31.57,338.36,78.55,5.073,23.51,54,3106,1,277,,,12.40
"       (2014 SS303)",13.24,0.4883,3.79,102.69,256.91,6.773,19.70,48.2,903,2,78,,,13.90
"       (2014 SG304)",6.607,0.6576,9.48,243.51,149.75,2.262,10.95,17,148,4,61,,,16.20
"       (2014 SQ339)",28.95,0.9030,128.57,193.66,148.95,2.808,55.10,156,30,7,48,,,17.30
"       (2014 SB349)",26.05,0.1809,15.52,117.14,357.21,21.337,30.76,133,832,4,29,,,9.30
"       (2014 SQ369)",6.031,0.6673,11.61,83.42,35.22,2.007,10.06,14.8,134,4,19,,,17.30
"       (2014 TK34)",13.85,0.7031,13.07,126.80,296.11,4.112,23.59,51.5,871,3,59,,,14.40
