"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2001 OC74)",2.25,0.3037,7.19,350.28,306.24,1.567,2.93,3.38,7221,0,53,,,19.39
"       (2001 PA4)",2.266,0.3622,21.85,289.82,92.71,1.445,3.09,3.41,7834,0,76,,,18.03
"       (2001 PS9)",2.569,0.3518,7.41,64.13,294.99,1.665,3.47,4.12,7804,0,51,,,17.95
"       (2001 PO13)",2.234,0.3405,3.71,107.74,222.91,1.473,3.00,3.34,7387,0,181,,,19.01
"       (2001 PU13)",2.291,0.4191,20.93,299.50,104.33,1.331,3.25,3.47,7855,0,282,,,18.11
"       (2001 PB15)",1.888,0.1228,23.90,131.49,255.67,1.656,2.12,2.59,7804,0,68,,,18.70
"       (2001 PH29)",2.294,0.3059,26.60,148.44,197.93,1.592,3.00,3.47,7766,0,100,,,18.35
"       (2001 PY43)",2.278,0.3061,7.31,347.27,303.82,1.581,2.98,3.44,7738,0,90,,,18.82
"       (2001 PA48)",2.346,0.3305,20.84,300.40,83.24,1.571,3.12,3.59,6681,0,120,,,18.30
"       (2001 PK60)",2.329,0.3364,4.87,146.14,229.19,1.546,3.11,3.55,6745,0,184,,,18.02
"       (2001 PJ65)",2.116,0.3106,3.20,240.22,82.57,1.459,2.77,3.08,4284,2,83,,,18.80
"       (2001 QP2)",2.322,0.3634,8.19,326.48,4.40,1.478,3.17,3.54,5058,0,83,,,18.10
"       (2001 QR33)",2.343,0.4080,22.50,292.41,38.97,1.387,3.30,3.59,6679,0,98,,,19.40
"       (2001 QT33)",2.138,0.3746,2.99,146.91,190.75,1.337,2.94,3.13,60,6,40,,,19.90
"       (2001 QA34)",2.637,0.4290,7.18,256.48,77.17,1.506,3.77,4.28,7603,0,51,,,18.72
"       (2001 QO72)",2.485,0.4688,14.62,195.86,128.66,1.320,3.65,3.92,67,5,55,,,19.10
"       (2001 QJ86)",2.548,0.3598,17.47,181.48,126.66,1.631,3.46,4.07,7240,0,99,,,18.69
"       (2001 QZ99)",2.832,0.4611,6.40,203.70,176.08,1.526,4.14,4.77,7113,0,424,,,17.20
"       (2001 QS108)",2.238,0.3814,6.19,238.04,157.37,1.385,3.09,3.35,7403,0,173,,,19.05
"       (2001 QT108)",2.673,0.4952,7.48,356.64,17.60,1.349,4.00,4.37,6728,0,162,,,18.00
"       (2001 QV108)",2.373,0.3990,3.68,131.77,223.02,1.426,3.32,3.66,8033,0,94,,,19.68
"       (2001 QN112)",2.569,0.3869,5.60,245.42,135.99,1.575,3.56,4.12,7812,0,87,,,18.22
"       (2001 QW116)",2.647,0.3820,4.26,265.31,82.00,1.636,3.66,4.31,7592,0,150,,,17.63
"       (2001 QJ133)",2.188,0.2633,6.01,270.98,58.64,1.612,2.76,3.24,7953,0,192,,,18.14
"       (2001 QF136)",2.234,0.3207,8.65,210.13,112.31,1.517,2.95,3.34,7408,0,286,,,18.53
"       (2001 QJ153)",2.684,0.4689,14.81,306.24,58.94,1.425,3.94,4.4,8015,0,359,,,17.25
"       (2001 QQ154)",2.678,0.4872,15.84,224.99,154.02,1.373,3.98,4.38,8033,0,254,,,17.08
