"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 OX93)",3.992,0.1955,2.33,351.91,318.33,3.212,4.77,7.98,6264,0,51,,,16.54
"       (2020 OU95)",3.205,0.1334,26.49,346.18,357.08,2.777,3.63,5.74,57,5,19,,,17.40
"       (2020 OA98)",3.204,0.0849,10.81,103.02,255.17,2.932,3.48,5.73,906,3,41,,,17.25
"       (2020 OC99)",3.201,0.1127,10.39,60.94,266.46,2.840,3.56,5.73,493,3,22,,,17.10
"       (2020 OU100)",3.219,0.1101,16.69,153.66,146.42,2.865,3.57,5.78,2653,0,38,,,17.26
"       (2020 OE102)",3.446,0.1019,11.58,116.30,289.06,3.095,3.80,6.4,4773,0,64,,,16.45
"       (2020 OH102)",3.225,0.0972,14.76,5.39,242.64,2.912,3.54,5.79,6534,0,26,,,17.11
"       (2020 ON102)",3.215,0.0583,10.05,273.34,283.20,3.027,3.40,5.76,4411,0,30,,,17.07
"       (2020 OU102)",4.01,0.1495,3.16,346.93,309.10,3.411,4.61,8.03,439,4,20,,,16.50
"       (2020 OV102)",3.418,0.1102,5.42,4.79,31.09,3.041,3.79,6.32,2192,0,48,,,17.10
"       (2020 OW102)",3.918,0.0302,2.23,322.36,69.38,3.799,4.04,7.75,5471,0,35,,,16.20
"       (2020 OZ102)",3.207,0.1434,10.87,86.89,316.45,2.747,3.67,5.74,2619,0,65,,,17.26
"       (2020 OK103)",3.216,0.0962,8.79,318.70,15.37,2.906,3.53,5.77,4454,2,38,,,17.36
"       (2020 OL103)",3.215,0.0643,9.40,288.86,162.13,3.008,3.42,5.76,2674,2,39,,,16.96
"       (2020 OU103)",3.239,0.0697,12.55,109.42,266.61,3.013,3.46,5.83,3120,0,39,,,17.29
"       (2020 OM104)",3.492,0.0256,12.31,106.37,239.83,3.402,3.58,6.52,2621,0,40,,,16.50
"       (2020 OW104)",3.236,0.0816,16.37,343.61,4.58,2.972,3.50,5.82,3153,2,42,,,16.90
"       (2020 OF105)",3.23,0.1256,3.82,214.21,162.33,2.824,3.64,5.81,4446,2,30,,,17.20
"       (2020 OR105)",3.392,0.0310,10.13,17.34,144.21,3.287,3.50,6.25,4371,0,42,,,16.60
"       (2020 OA106)",3.236,0.0783,10.39,281.71,73.43,2.983,3.49,5.82,910,4,26,,,17.32
"       (2020 OD106)",3.206,0.0938,9.13,318.50,51.95,2.905,3.51,5.74,4438,2,23,,,16.80
"       (2020 OK106)",3.24,0.0717,6.34,274.52,70.00,3.008,3.47,5.83,4415,0,24,,,17.00
"       (2020 OL106)",3.211,0.2669,15.35,102.63,305.31,2.354,4.07,5.75,556,4,27,,,17.87
"       (2020 OV106)",3.202,0.0377,9.72,225.16,270.73,3.081,3.32,5.73,5739,0,39,,,17.07
"       (2020 OV108)",3.982,0.2253,4.29,295.38,13.14,3.085,4.88,7.95,914,4,31,,,16.40
"       (2020 OW108)",3.237,0.0361,9.32,289.77,18.45,3.120,3.35,5.83,3548,2,23,,,16.90
"       (2020 OG109)",3.413,0.1430,10.79,337.18,37.19,2.925,3.90,6.31,4799,1,25,,,17.20
"       (2020 OX109)",3.218,0.0511,8.89,342.64,299.80,3.053,3.38,5.77,4881,0,27,,,17.56
"       (2020 OC110)",3.258,0.0314,9.98,73.81,267.55,3.155,3.36,5.88,3538,0,34,,,17.43
"       (2020 OO110)",3.212,0.0951,9.38,107.67,267.35,2.907,3.52,5.76,910,3,22,,,17.49
"       (2020 OR110)",3.236,0.0406,7.09,272.93,129.06,3.105,3.37,5.82,3089,0,28,,,17.16
"       (2020 OW110)",3.221,0.1042,9.13,263.03,89.28,2.885,3.56,5.78,2184,3,23,,,17.74
"       (2020 OK111)",3.243,0.0578,10.38,88.42,135.76,3.056,3.43,5.84,4001,0,34,,,16.90
"       (2020 OK112)",3.214,0.1086,15.88,261.80,26.87,2.865,3.56,5.76,916,4,24,,,17.09
"       (2020 OK114)",3.219,0.0924,9.21,321.72,305.65,2.921,3.52,5.78,2637,1,21,,,17.56
"       (2020 OE115)",3.224,0.0080,9.27,115.41,242.94,3.199,3.25,5.79,905,3,20,,,17.26
"       (2020 OM116)",3.229,0.1256,10.91,108.86,255.35,2.824,3.64,5.8,2234,0,22,,,17.32
"       (2020 OS117)",3.224,0.0094,15.38,344.18,229.49,3.194,3.25,5.79,3971,0,33,,,17.28
"       (2020 OX118)",4.001,0.1366,2.97,30.46,255.05,3.454,4.55,8,7116,1,23,,,16.57
"       (2020 OX121)",3.283,0.2068,7.24,270.41,47.67,2.604,3.96,5.95,25,5,12,,,18.36
"       (2020 OG125)",3.228,0.0858,7.53,302.42,17.65,2.951,3.51,5.8,34,5,11,,,17.86
"       (2020 PD7)",3.396,0.5721,24.27,290.10,73.75,1.453,5.34,6.26,3,9,21,,,19.95
"       (2020 PL8)",3.222,0.2056,24.02,263.28,79.49,2.559,3.88,5.78,4060,0,150,,,16.20
"       (2020 PL9)",3.225,0.3831,10.03,353.36,3.51,1.990,4.46,5.79,58,5,50,,,18.60
"       (2020 PL10)",3.219,0.3354,13.65,330.86,356.96,2.139,4.30,5.78,33,6,27,,,18.60
"       (2020 PD11)",3.204,0.1520,28.06,161.09,198.41,2.717,3.69,5.73,62,4,44,,,17.20
"       (2020 PC15)",3.232,0.0583,10.06,39.41,6.79,3.043,3.42,5.81,4834,0,43,,,17.22
"       (2020 PH15)",3.205,0.2083,27.61,179.32,149.27,2.538,3.87,5.74,32,5,23,,,17.50
"       (2020 PF17)",3.208,0.0341,8.24,252.21,116.91,3.099,3.32,5.75,2628,0,35,,,17.18
"       (2020 PS18)",3.253,0.1307,8.19,99.78,283.85,2.828,3.68,5.87,3948,0,37,,,17.20
"       (2020 PK20)",3.274,0.2245,12.93,172.80,221.97,2.539,4.01,5.92,2207,2,21,,,17.40
